it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.518092155456543,-4.518092155456543,0.0,0.0,0.05000000000000001,87,87,87,87,87,87,1.0,0,-0.00020900985691696405,0.007583505008369684,0.009969562292098999,0.016570085659623146,0.0388970747590065,0.05472284555435181,0.01336298044770956,0.025298122316598892,0.03383106738328934,0.0050777713768184185,0.012935939244925976,0.019458889961242676,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999722838401794,0.0014648973010480404
10,-4.787590026855469,-4.794445037841797,0.006847858428955078,7.0791102189105e-06,0.04505509125832511,87,87,87,87,87,87,1.0,0,0.003630310297012329,0.00923352874815464,0.016692370176315308,0.013115170411765575,0.027004361152648926,0.041570425033569336,0.04388804733753204,0.06803534179925919,0.07430616021156311,0.011687392368912697,0.03070709854364395,0.044034868478775024,-4.617307186126709,-4.593659400939941,0.00987936370074749,0.010115772485733032,nan,nan,nan,nan,0.2666673958301544,0.0032398956827819347
20,-4.932530879974365,-4.941524505615234,0.008961472660303116,3.201390427420847e-05,0.04013216761128589,87,87,87,87,87,87,1.0,0,0.0050293379463255405,0.007953203283250332,0.0107613205909729,0.016838377341628075,0.029415078461170197,0.031338393688201904,0.049985699355602264,0.08399089425802231,0.09409778565168381,0.012599320150911808,0.03978055715560913,0.050626397132873535,-4.6316914558410645,-4.585617542266846,0.009738272987306118,0.010197450406849384,nan,nan,nan,nan,0.19653257727622986,0.003413509577512741
30,-5.062551021575928,-5.071244716644287,0.008617723360657692,7.596056821057573e-05,0.0357471449329879,87,87,87,87,87,87,1.0,0,0.0032897242344915867,0.006051766686141491,0.010997951030731201,0.015337105840444565,0.029159512370824814,0.04034435749053955,0.04873199015855789,0.08628153055906296,0.10872536152601242,0.013523038476705551,0.04183512553572655,0.05367061495780945,-4.647204399108887,-4.580914497375488,0.009588370099663734,0.010245522484183311,nan,nan,nan,nan,0.1474030762910843,0.004041443113237619
40,-5.184864521026611,-5.194475173950195,0.009467980824410915,0.00014243228361010551,0.031841249723592945,87,87,87,87,87,87,1.0,0,0.0020288380328565836,0.0050415098667144775,0.006953120231628418,0.014670965261757374,0.03323346748948097,0.03876560926437378,0.05083192512392998,0.09015823900699615,0.10703322291374207,0.01476510614156723,0.043540481477975845,0.05406475067138672,-4.663278102874756,-4.573393821716309,0.009435481391847134,0.010322866030037403,nan,nan,nan,nan,0.09434540569782257,0.0048626502975821495
50,-5.2948431968688965,-5.304225444793701,0.009146889671683311,0.0002355860051466152,0.028362130342459893,87,87,87,87,87,87,1.0,0,0.0016283475561067462,0.004536086227744818,0.005355179309844971,0.014234284870326519,0.03379826247692108,0.04000326991081238,0.0495724231004715,0.09249398112297058,0.11127408593893051,0.014610398560762405,0.04347743093967438,0.05451175570487976,-4.6794562339782715,-4.564743995666504,0.009284061379730701,0.010412544012069702,nan,nan,nan,nan,0.07712817192077637,0.006191401742398739
60,-5.408742427825928,-5.417197227478027,0.008095537312328815,0.0003590629203245044,0.02526315532667841,87,87,87,87,87,87,1.0,0,0.001132149831391871,0.0040930272080004215,0.005682498216629028,0.014381312765181065,0.03552788496017456,0.04275664687156677,0.04629521071910858,0.09426175057888031,0.10322315245866776,0.013881663791835308,0.0455087311565876,0.052314311265945435,-4.697122097015381,-4.550976276397705,0.009121490642428398,0.010556893423199654,nan,nan,nan,nan,0.13348262012004852,0.007060944568365812
70,-5.522777080535889,-5.531181335449219,0.007893631234765053,0.0005108112818561494,0.022502788378502493,87,87,87,87,87,87,1.0,0,0.000753900792915374,0.003930968232452869,0.005456387996673584,0.014103371649980545,0.034642621874809265,0.042786240577697754,0.04545025900006294,0.09680604189634323,0.10683673620223999,0.01319108996540308,0.043249618262052536,0.050026506185531616,-4.715134143829346,-4.537348747253418,0.008958663791418076,0.010701742023229599,nan,nan,nan,nan,0.10797713696956635,0.008110059425234795
80,-5.628546237945557,-5.636294841766357,0.007053977809846401,0.0006949679227545857,0.02004403164449233,87,87,87,87,87,87,1.0,0,0.0005622571334242821,0.0029216469265520573,0.004320919513702393,0.014245010912418365,0.033651430159807205,0.045723676681518555,0.04244376718997955,0.08974238485097885,0.10036054998636246,0.012862476520240307,0.04143877327442169,0.04733574390411377,-4.734652042388916,-4.522521495819092,0.008785505779087543,0.010861601680517197,nan,nan,nan,nan,0.086374931037426,0.00985801499336958
90,-5.72797155380249,-5.735288143157959,0.006395298056304455,0.0009212378645315766,0.01785392982450232,87,87,87,87,87,87,1.0,0,0.0004261708236299455,0.002603179309517145,0.005441188812255859,0.014203219674527645,0.033471520990133286,0.04655054211616516,0.04011325165629387,0.08720318973064423,0.1031932532787323,0.012492415495216846,0.04100988060235977,0.04724600911140442,-4.755239009857178,-4.505516529083252,0.008606486953794956,0.01104788202792406,nan,nan,nan,nan,0.08940653502941132,0.011768906377255917
