it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.388782024383545,-4.388782024383545,0.0,0.0,0.05000000000000001,111,111,111,111,111,111,1.0,0,0.010555705055594444,0.0487159788608551,0.05839601159095764,0.0253092460334301,0.06454980373382568,0.08663880825042725,0.058070357888936996,0.10785388201475143,0.12655489146709442,0.02800166979432106,0.06808817386627197,0.10791200399398804,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999913573265076,0.0006245318800210953
40,-5.095712661743164,-5.146152973175049,0.006127442233264446,0.0001235961535712704,0.031841249723592945,111,111,111,111,111,111,1.0,0,0.0035015635658055544,0.01463174819946289,0.04829397797584534,0.01553501095622778,0.035694271326065063,0.051805198192596436,0.07050977647304535,0.1477687656879425,0.20746174454689026,0.02928699553012848,0.09553512930870056,0.1840651035308838,-4.662637710571289,-4.548554420471191,0.009441525675356388,0.01058249082416296,nan,nan,nan,nan,0.09728339314460754,0.003172216471284628
80,-5.534648895263672,-5.604716777801514,0.0060197291895747185,0.0006756677175872028,0.02004403164449233,111,111,111,111,111,111,1.0,0,0.00170100387185812,0.008530348539352417,0.03290662169456482,0.015026988461613655,0.03770628571510315,0.04698556661605835,0.0680784359574318,0.14388787746429443,0.1858655959367752,0.028398234397172928,0.09979432821273804,0.17360496520996094,-4.736927509307861,-4.478954315185547,0.008765536360442638,0.0113452710211277,nan,nan,nan,nan,0.035618506371974945,0.00696575129404664
120,-5.906384468078613,-5.994974613189697,0.0062934476882219315,0.0019291084026917815,0.012617695852173826,111,111,111,111,111,111,1.0,0,0.0011341883800923824,0.004685938358306885,0.018963724374771118,0.015060706995427608,0.035268694162368774,0.049995094537734985,0.06760682165622711,0.13964000344276428,0.18623177707195282,0.028552765026688576,0.09278884530067444,0.17621243000030518,-4.828031539916992,-4.391822814941406,0.008002257905900478,0.012378145940601826,nan,nan,nan,nan,0.1321890652179718,0.013682900927960873
160,-6.203267574310303,-6.304497718811035,0.006442415062338114,0.004101687576621771,0.007942825647140267,111,111,111,111,111,111,1.0,0,0.0007732677040621638,0.002970486879348755,0.008729040622711182,0.014902818948030472,0.03530439734458923,0.05255061388015747,0.06758644431829453,0.14139750599861145,0.18610894680023193,0.028046688064932823,0.09248112142086029,0.17675048112869263,-4.92413854598999,-4.293790817260742,0.007268985267728567,0.013653071597218513,nan,nan,nan,nan,0.308663010597229,0.023213831707835197
200,-6.425806522369385,-6.535159111022949,0.006495807785540819,0.007243480533361435,0.005000000000000002,111,111,111,111,111,111,1.0,0,0.0007189370226114988,0.0024864673614501953,0.006441682577133179,0.014911814592778683,0.03502160310745239,0.05251806974411011,0.06767431646585464,0.14217472076416016,0.18550370633602142,0.027897797524929047,0.09164835512638092,0.17627567052841187,-5.026210308074951,-4.19746208190918,0.006563637405633926,0.015033682808279991,nan,nan,nan,nan,0.48679015040397644,0.032788366079330444
