it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.503698348999023,-4.503698348999023,0.0,0.0,0.05000000000000001,55,55,55,55,55,55,1.0,0,0.0003568031534086913,0.008221923373639584,0.009973287582397461,0.0155103774741292,0.03272474929690361,0.05939739942550659,0.02531001716852188,0.044400203973054886,0.052250299602746964,0.008078514598309994,0.021542036905884743,0.033413857221603394,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999889731407166,0.000836841412819922
10,-4.78753137588501,-4.79456901550293,0.007031072862446308,6.692991973977769e-06,0.04505509125832511,55,55,55,55,55,55,1.0,0,0.0028036662843078375,0.007894283160567284,0.012305974960327148,0.013067974708974361,0.025784049183130264,0.04558178782463074,0.05118902400135994,0.07663320749998093,0.08088226616382599,0.011313725262880325,0.025611592456698418,0.0386543869972229,-4.617275238037109,-4.593073844909668,0.009879679419100285,0.01012169849127531,nan,nan,nan,nan,0.3321325182914734,0.002719686133787036
20,-4.932560920715332,-4.941659927368164,0.009068810380995274,3.0194991268217564e-05,0.04013216761128589,55,55,55,55,55,55,1.0,0,0.0043518757447600365,0.00837993435561657,0.011642217636108398,0.01576434075832367,0.026834439486265182,0.030513465404510498,0.05612979084253311,0.09244564175605774,0.10679567605257034,0.013351396657526493,0.03456990048289299,0.055844008922576904,-4.631324291229248,-4.579380512237549,0.009741849265992641,0.010261250659823418,nan,nan,nan,nan,0.24001318216323853,0.0027212928980588913
30,-5.062769889831543,-5.071481227874756,0.008640170097351074,7.128518336685374e-05,0.0357471449329879,55,55,55,55,55,55,1.0,0,0.003073622239753604,0.006666266359388828,0.010199815034866333,0.015110110864043236,0.03096865303814411,0.03858157992362976,0.05340486019849777,0.09624027460813522,0.10556022822856903,0.013900494202971458,0.03550582379102707,0.054663389921188354,-4.646622657775879,-4.567544937133789,0.009593948721885681,0.010383420623838902,nan,nan,nan,nan,0.20165181159973145,0.003505261614918709
40,-5.185303688049316,-5.193675518035889,0.008237442933022976,0.00013434859283734113,0.031841249723592945,55,55,55,55,55,55,1.0,0,0.002050046343356371,0.005053961183875799,0.0061168670654296875,0.014375954866409302,0.03350888192653656,0.03827559947967529,0.04979844018816948,0.09596759080886841,0.1104026511311531,0.013763186521828175,0.03401125594973564,0.0555250346660614,-4.663360118865967,-4.554804801940918,0.009434707462787628,0.010516553185880184,nan,nan,nan,nan,0.10990489274263382,0.004614724777638912
50,-5.296734809875488,-5.3042731285095215,0.0073148515075445175,0.00022366669145412743,0.028362130342459893,55,55,55,55,55,55,1.0,0,0.0012225134996697307,0.0044762371107935905,0.0054991841316223145,0.014039280824363232,0.03421701863408089,0.039337098598480225,0.04723852127790451,0.08890143036842346,0.09979330748319626,0.01265147514641285,0.033563513308763504,0.05343121290206909,-4.680889129638672,-4.543328285217285,0.00927076768130064,0.010637941770255566,nan,nan,nan,nan,0.10234207659959793,0.00622719107195735
60,-5.40837287902832,-5.4152631759643555,0.006545728072524071,0.00034478347515687346,0.02526315532667841,55,55,55,55,55,55,1.0,0,0.0009492234676145017,0.004127830266952515,0.0056088268756866455,0.014017007313668728,0.0364394411444664,0.04014790058135986,0.04519264027476311,0.08074183762073517,0.10979579389095306,0.011538688093423843,0.034515783190727234,0.053622692823410034,-4.699648857116699,-4.531032085418701,0.009098471142351627,0.01076955534517765,nan,nan,nan,nan,0.14755795896053314,0.007294142618775368
70,-5.521037578582764,-5.528081893920898,0.006550999358296394,0.0004937376943416893,0.022502788378502493,55,55,55,55,55,55,1.0,0,0.0005639520240947604,0.0034095582086592913,0.0041730403900146484,0.013972313143312931,0.0343170240521431,0.04452434182167053,0.042921699583530426,0.08201761543750763,0.1341257244348526,0.01105029508471489,0.033798862248659134,0.05613604187965393,-4.71906852722168,-4.514694690704346,0.008923486806452274,0.01094694621860981,nan,nan,nan,nan,0.14470748603343964,0.007755131460726261
80,-5.625483512878418,-5.632490634918213,0.006337678525596857,0.0006695169140584767,0.02004403164449233,55,55,55,55,55,55,1.0,0,0.0002934992080554366,0.0028780337888747454,0.003977537155151367,0.013886522501707077,0.03289027139544487,0.045174241065979004,0.04126964882016182,0.08193890750408173,0.1424117535352707,0.010620626620948315,0.034100547432899475,0.058616310358047485,-4.739818096160889,-4.498019695281982,0.008740236051380634,0.01113101840019226,nan,nan,nan,nan,0.11859624832868576,0.009861906059086323
90,-5.723415374755859,-5.73015022277832,0.005845010280609131,0.0008898010710254312,0.01785392982450232,55,55,55,55,55,55,1.0,0,0.0004714581009466201,0.0027232582215219736,0.00426676869392395,0.014191697351634502,0.03384832292795181,0.04682523012161255,0.0404922179877758,0.08238736540079117,0.12974444031715393,0.010323542170226574,0.030532898381352425,0.05669179558753967,-4.761470317840576,-4.47833776473999,0.008553024381399155,0.011352268047630787,nan,nan,nan,nan,0.11972327530384064,0.012293396517634392
100,-5.820608139038086,-5.827170372009277,0.00539903249591589,0.0011631043162196875,0.0159031284639706,55,55,55,55,55,55,1.0,0,0.0006210955325514078,0.0026540153194218874,0.004362940788269043,0.014475422911345959,0.03431665152311325,0.0467391312122345,0.039886847138404846,0.08156285434961319,0.11194945871829987,0.009938942268490791,0.03067343682050705,0.05195125937461853,-4.783621311187744,-4.456089019775391,0.008365649729967117,0.011607672087848186,nan,nan,nan,nan,0.19286203384399414,0.013642842881381512
110,-5.911787033081055,-5.9190168380737305,0.005757452454417944,0.0014725415967404842,0.01416548050919662,55,55,55,55,55,55,1.0,0,0.000680740806274116,0.0029906388372182846,0.0045588016510009766,0.014701648615300655,0.0343342125415802,0.04705846309661865,0.04086149111390114,0.08613467961549759,0.1074608564376831,0.009786846116185188,0.030776288360357285,0.04857179522514343,-4.805591106414795,-4.43419075012207,0.008183862082660198,0.011864664033055305,nan,nan,nan,nan,0.19710193574428558,0.015746433287858963
120,-5.995218753814697,-6.0028300285339355,0.005785243585705757,0.0018258141353726387,0.012617695852173826,55,55,55,55,55,55,1.0,0,0.0005241886829026043,0.0024325845297425985,0.004914999008178711,0.014584804885089397,0.03462537005543709,0.04793044924736023,0.040405355393886566,0.08718186616897583,0.10439551621675491,0.00980614684522152,0.030962133780121803,0.05258777737617493,-4.827907562255859,-4.409271717071533,0.008003249764442444,0.012164034880697727,nan,nan,nan,nan,0.26917174458503723,0.018809963017702103
130,-6.073493003845215,-6.081090927124023,0.005364301614463329,0.002233694074675441,0.01123902916774363,55,55,55,55,55,55,1.0,0,0.0005223084590397775,0.0020459769293665886,0.004304796457290649,0.014646736904978752,0.03427762910723686,0.04653424024581909,0.039832644164562225,0.08259891718626022,0.09359182417392731,0.009734517894685268,0.030616268515586853,0.05032533407211304,-4.851866245269775,-4.384186267852783,0.007813781499862671,0.012473033741116524,nan,nan,nan,nan,0.2912527024745941,0.021496519446372986
140,-6.146577835083008,-6.1546430587768555,0.005377642810344696,0.002687247935682535,0.010011001859077924,55,55,55,55,55,55,1.0,0,0.0005849057924933732,0.0023555513471364975,0.003798961639404297,0.014833401888608932,0.03455319255590439,0.04738256335258484,0.040746454149484634,0.07807745039463043,0.0928594097495079,0.010296821594238281,0.031161000952124596,0.050442665815353394,-4.876927852630615,-4.359209060668945,0.007620389107614756,0.012788498774170876,nan,nan,nan,nan,0.42402440309524536,0.024299107491970062
150,-6.2128376960754395,-6.221349716186523,0.005329030100256205,0.0031830088701099157,0.008917154384659546,55,55,55,55,55,55,1.0,0,0.000521537906024605,0.0021374463103711605,0.003249913454055786,0.014825514517724514,0.03456372767686844,0.046644121408462524,0.04009774327278137,0.07928113639354706,0.10418768972158432,0.010356462560594082,0.032364629209041595,0.04814985394477844,-4.9022722244262695,-4.334060192108154,0.007429681718349457,0.013114193454384804,nan,nan,nan,nan,0.36337098479270935,0.027429016306996346
160,-6.27313232421875,-6.28214693069458,0.005281728692352772,0.003732522949576378,0.007942825647140267,55,55,55,55,55,55,1.0,0,0.0006026923656463623,0.0019802686292678118,0.0039501190185546875,0.014939986169338226,0.03441017493605614,0.04815042018890381,0.03939635679125786,0.08147957921028137,0.09814810007810593,0.010067922063171864,0.030852260068058968,0.048605531454086304,-4.927828788757324,-4.308933734893799,0.007242210209369659,0.013447880744934082,nan,nan,nan,nan,0.3656006157398224,0.03065783716738224
