it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.391722679138184,-4.391722679138184,0.0,0.0,0.05000000000000001,103,103,103,103,103,103,1.0,0,0.0005119318375363946,0.003520738100633025,0.007613569498062134,0.01794344186782837,0.0442606583237648,0.059973955154418945,0.005410828627645969,0.03976250812411308,0.0865866094827652,0.0016862923512235284,0.011143799871206284,0.04034143686294556,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.4999987781047821,0.0008362780208699405
10,-4.763284683227539,-4.771966457366943,0.008675245568156242,6.5993967837130185e-06,0.04505509125832511,103,103,103,103,103,103,1.0,0,0.0021026490721851587,0.009224641136825085,0.01322948932647705,0.012467917054891586,0.03029000200331211,0.05035308003425598,0.05091402307152748,0.06739359349012375,0.08085436373949051,0.01601199246942997,0.03757123649120331,0.052897870540618896,-4.617274284362793,-4.593017578125,0.00987968873232603,0.0101222675293684,nan,nan,nan,nan,0.3382689952850342,0.0019613567274063826
20,-4.9254937171936035,-4.938664436340332,0.013141422532498837,2.907139241870027e-05,0.04013216761128589,103,103,103,103,103,103,1.0,0,0.0043803974986076355,0.007744103670120239,0.011014193296432495,0.0159393809735775,0.02928488329052925,0.03420531749725342,0.06038357689976692,0.09737943857908249,0.11908052116632462,0.020343124866485596,0.05603934824466705,0.06381484866142273,-4.6313796043396,-4.579109191894531,0.009741310961544514,0.010264035314321518,nan,nan,nan,nan,0.2162696123123169,0.002030248986557126
30,-5.054606914520264,-5.067229270935059,0.012554655782878399,6.769486935809255e-05,0.0357471449329879,103,103,103,103,103,103,1.0,0,0.0030509408097714186,0.006564682815223932,0.010030180215835571,0.014683936722576618,0.02792816050350666,0.03526419401168823,0.05741933360695839,0.10028564929962158,0.14364664256572723,0.02093372493982315,0.05508921295404434,0.06836122274398804,-4.646768569946289,-4.564791679382324,0.009592548944056034,0.010412047617137432,nan,nan,nan,nan,0.18677622079849243,0.002677581738680601
40,-5.179025173187256,-5.192225456237793,0.01307133212685585,0.00012896805128548294,0.031841249723592945,103,103,103,103,103,103,1.0,0,0.00204988825134933,0.005338865332305431,0.006213486194610596,0.014777859672904015,0.0347784049808979,0.04004991054534912,0.059235457330942154,0.10497654229402542,0.14054381847381592,0.02169921062886715,0.05356711894273758,0.06911468505859375,-4.663147926330566,-4.553531646728516,0.009436709806323051,0.010529951192438602,nan,nan,nan,nan,0.12986668944358826,0.003339942544698715
50,-5.291718482971191,-5.3044023513793945,0.012468201108276844,0.00021553259284701198,0.028362130342459893,103,103,103,103,103,103,1.0,0,0.001329480786807835,0.004064613021910191,0.005739957094192505,0.013965697027742863,0.03400766849517822,0.04010304808616638,0.05786486715078354,0.10271818190813065,0.12624169886112213,0.021588165313005447,0.056089043617248535,0.06996193528175354,-4.680883407592773,-4.539854526519775,0.009270820766687393,0.010674959979951382,nan,nan,nan,nan,0.08161202073097229,0.004523507319390774
60,-5.404663562774658,-5.415980815887451,0.010983280837535858,0.00033359715598635375,0.02526315532667841,103,103,103,103,103,103,1.0,0,0.0009973132982850075,0.0038800707552582026,0.005442678928375244,0.014161878265440464,0.03469328209757805,0.04193118214607239,0.05345284566283226,0.10217957198619843,0.11502696573734283,0.02125946618616581,0.057083018124103546,0.07144394516944885,-4.699342727661133,-4.522661209106445,0.009101256728172302,0.010860083624720573,nan,nan,nan,nan,0.09873271733522415,0.00514236930757761
70,-5.517334938049316,-5.528018951416016,0.010201705619692802,0.00048226240323856473,0.022502788378502493,103,103,103,103,103,103,1.0,0,0.0005869263550266623,0.003342783311381936,0.0041189491748809814,0.01392323337495327,0.03594125062227249,0.0447288453578949,0.05148887634277344,0.10019418597221375,0.1151578277349472,0.020875871181488037,0.05661272257566452,0.07278713583946228,-4.718660831451416,-4.506661415100098,0.008927125483751297,0.011035241186618805,nan,nan,nan,nan,0.10226799547672272,0.005826623644679785
80,-5.622124195098877,-5.632284641265869,0.009498178958892822,0.0006623243680223823,0.02004403164449233,103,103,103,103,103,103,1.0,0,0.00044194096699357033,0.002811550861224532,0.004017502069473267,0.014029121957719326,0.03384029120206833,0.0459284782409668,0.04917425289750099,0.09472503513097763,0.10536923259496689,0.020431634038686752,0.057182326912879944,0.07226237654685974,-4.738058567047119,-4.4953389167785645,0.008755628019571304,0.01116089802235365,nan,nan,nan,nan,0.07674045115709305,0.007247616536915302
90,-5.720555305480957,-5.7306742668151855,0.009232991375029087,0.0008859289227984846,0.01785392982450232,103,103,103,103,103,103,1.0,0,0.00046320128603838384,0.0029263433534651995,0.0045708417892456055,0.01420279499143362,0.03419060632586479,0.04743531346321106,0.04797406867146492,0.09060146659612656,0.10076488554477692,0.020118949934840202,0.05602438375353813,0.06901887059211731,-4.759795665740967,-4.4755539894104,0.008567359298467636,0.011383913457393646,nan,nan,nan,nan,0.09254249930381775,0.008788098581135273
100,-5.818705081939697,-5.828938007354736,0.00907830148935318,0.0011541942367330194,0.0159031284639706,103,103,103,103,103,103,1.0,0,0.0007694711093790829,0.0030076145194470882,0.004550188779830933,0.014659279026091099,0.033852219581604004,0.04776036739349365,0.04687618464231491,0.08928094059228897,0.10268180817365646,0.019838573411107063,0.05518448352813721,0.06536513566970825,-4.781646251678467,-4.455608367919922,0.008382188156247139,0.011613252572715282,nan,nan,nan,nan,0.10851100087165833,0.009620998986065388
110,-5.910168170928955,-5.920057773590088,0.008428474888205528,0.0014610893558710814,0.01416548050919662,103,103,103,103,103,103,1.0,0,0.0007662313291803002,0.0026309120003134012,0.004712194204330444,0.014750179834663868,0.03429916501045227,0.047624021768569946,0.04451597109436989,0.09017784148454666,0.10230280458927155,0.019111329689621925,0.052989017218351364,0.06524023413658142,-4.803467273712158,-4.4355549812316895,0.00820126198232174,0.01184848789125681,nan,nan,nan,nan,0.0999932661652565,0.011259697377681732
120,-5.995877742767334,-6.005577087402344,0.00788540206849575,0.0018140971660614014,0.012617695852173826,103,103,103,103,103,103,1.0,0,0.0007397185545414686,0.0022780001163482666,0.006333470344543457,0.014798019081354141,0.032655034214258194,0.050084590911865234,0.043365202844142914,0.08415991067886353,0.0998888835310936,0.01875382289290428,0.05113860219717026,0.06509903073310852,-4.82620906829834,-4.414628505706787,0.008016855455935001,0.012099048122763634,nan,nan,nan,nan,0.1565401554107666,0.012965927831828594
130,-6.077122211456299,-6.086994647979736,0.007662671618163586,0.002209703205153346,0.01123902916774363,103,103,103,103,103,103,1.0,0,0.0006127858068794012,0.002128815511241555,0.0036711394786834717,0.01467020995914936,0.03292439877986908,0.0507277250289917,0.04302062839269638,0.0861210823059082,0.10174397379159927,0.01848805882036686,0.049978744238615036,0.06403416395187378,-4.849559307098389,-4.393624782562256,0.00783182866871357,0.012355861254036427,nan,nan,nan,nan,0.22049281001091003,0.014698312617838383
