it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.380686283111572,-4.380686283111572,0.0,0.0,0.05000000000000001,161,161,161,161,161,161,1.0,0,0.00588257797062397,0.03760167956352234,0.05826979875564575,0.021219579502940178,0.0654621422290802,0.10409411787986755,0.02990889549255371,0.051507480442523956,0.06593071669340134,0.015698278322815895,0.040904730558395386,0.05388644337654114,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999889731407166,0.000709550513420254
40,-5.120054721832275,-5.166772842407227,0.005557559430599213,0.00012633729784283787,0.031841249723592945,161,161,161,161,161,161,1.0,0,0.0033441027626395226,0.012012183666229248,0.02225401997566223,0.015459720976650715,0.03521609306335449,0.046621888875961304,0.045553356409072876,0.09876435250043869,0.14616186916828156,0.020074332132935524,0.07776278257369995,0.11596786975860596,-4.662147521972656,-4.54846715927124,0.009446154348552227,0.010583414696156979,nan,nan,nan,nan,0.09054791927337646,0.0027127587236464024
80,-5.56535005569458,-5.617338180541992,0.004895869642496109,0.0006814959342591465,0.02004403164449233,161,161,161,161,161,161,1.0,0,0.0017040922539308667,0.006997406482696533,0.015757769346237183,0.01496785320341587,0.03622511029243469,0.0488622784614563,0.04191834479570389,0.08589331805706024,0.19638711214065552,0.01809096150100231,0.06827294826507568,0.117328941822052,-4.738339424133301,-4.474320411682129,0.00875316932797432,0.011397965252399445,nan,nan,nan,nan,0.024509456008672714,0.00596646498888731
120,-5.942323684692383,-6.0033183097839355,0.004886524751782417,0.0019696999806910753,0.012617695852173826,161,161,161,161,161,161,1.0,0,0.00114936544559896,0.003979623317718506,0.010755449533462524,0.014848632737994194,0.03489607572555542,0.05100816488265991,0.04086446017026901,0.0877341777086258,0.19852827489376068,0.017462991178035736,0.06473439931869507,0.11940467357635498,-4.828165054321289,-4.389827728271484,0.008001189678907394,0.012402866035699844,nan,nan,nan,nan,0.10029607266187668,0.011503182351589203
160,-6.241858005523682,-6.311745643615723,0.0051214369013905525,0.0042288643307983875,0.007942825647140267,161,161,161,161,161,161,1.0,0,0.0006728494772687554,0.0025803744792938232,0.006624370813369751,0.014575018547475338,0.03528231382369995,0.053619205951690674,0.041003234684467316,0.09063293039798737,0.20091676712036133,0.017428873106837273,0.06592512130737305,0.12062528729438782,-4.924000263214111,-4.296209335327148,0.0072699906304478645,0.01362009160220623,nan,nan,nan,nan,0.2959601879119873,0.018966395407915115
200,-6.466706275939941,-6.542130947113037,0.005177709273993969,0.007474121637642384,0.005000000000000002,161,161,161,161,161,161,1.0,0,0.0005463400739245117,0.0022281110286712646,0.004872411489486694,0.014494039118289948,0.03402531147003174,0.05178430676460266,0.04094940051436424,0.0908222422003746,0.19726476073265076,0.017388204112648964,0.06627839803695679,0.12115734815597534,-5.025601863861084,-4.197007179260254,0.0065676323138177395,0.015040523372590542,nan,nan,nan,nan,0.41033726930618286,0.02656005136668682
