it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.423050403594971,-4.423050403594971,0.0,0.0,0.05000000000000001,147,147,147,147,147,147,1.0,0,0.00516777066513896,0.02985338494181633,0.03955891728401184,0.019969871267676353,0.05362889915704727,0.07740557193756104,0.029868530109524727,0.054279107600450516,0.06668474525213242,0.01488689985126257,0.036720529198646545,0.04765951633453369,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999886751174927,0.0007257169927470386
40,-5.127364635467529,-5.167884826660156,0.005057565402239561,0.00013148596917744726,0.031841249723592945,147,147,147,147,147,147,1.0,0,0.0028318536933511496,0.011219143867492676,0.020932286977767944,0.0147471958771348,0.03514544665813446,0.045729756355285645,0.04365576058626175,0.09057708829641342,0.15792261064052582,0.016144992783665657,0.05033966526389122,0.1060914695262909,-4.660969257354736,-4.549452304840088,0.009457291103899479,0.010572994127869606,nan,nan,nan,nan,0.08311621844768524,0.00283543998375535
80,-5.570209980010986,-5.617600440979004,0.004996700212359428,0.0006980038597248495,0.02004403164449233,147,147,147,147,147,147,1.0,0,0.0013330612564459443,0.006377565674483776,0.014707565307617188,0.014419286511838436,0.03407621383666992,0.04797080159187317,0.04124089330434799,0.09362994879484177,0.18073545396327972,0.014987241476774216,0.04768257215619087,0.1005881130695343,-4.738005638122559,-4.4767165184021,0.008756091818213463,0.011370687745511532,nan,nan,nan,nan,0.02153807133436203,0.006362108048051596
120,-5.943918228149414,-6.002634048461914,0.004882726818323135,0.001990583026781678,0.012617695852173826,147,147,147,147,147,147,1.0,0,0.0008627311908639967,0.003945872653275728,0.00881892442703247,0.014437559992074966,0.03406218811869621,0.05124494433403015,0.04000622779130936,0.08914714306592941,0.17216156423091888,0.014316847547888756,0.048909105360507965,0.10153406858444214,-4.829113960266113,-4.394302845001221,0.007993600331246853,0.01234748587012291,nan,nan,nan,nan,0.11350905150175095,0.012249570339918137
160,-6.244929790496826,-6.3107428550720215,0.005033232271671295,0.004212934523820877,0.007942825647140267,147,147,147,147,147,147,1.0,0,0.0005906082224100828,0.002800410147756338,0.004985064268112183,0.014320994727313519,0.034513406455516815,0.05132991075515747,0.04015576094388962,0.09267377108335495,0.17091122269630432,0.014055823907256126,0.04994947835803032,0.1032102108001709,-4.923818111419678,-4.2964982986450195,0.0072713145054876804,0.013616155833005905,nan,nan,nan,nan,0.2626563012599945,0.020098622888326645
200,-6.469947814941406,-6.541778087615967,0.0050644706934690475,0.007407494820654392,0.005000000000000002,147,147,147,147,147,147,1.0,0,0.00045006777509115636,0.0020659626461565495,0.00461229681968689,0.014243284240365028,0.03373630717396736,0.05354952812194824,0.040070682764053345,0.09301119297742844,0.16996723413467407,0.014047481119632721,0.049864742904901505,0.1032639741897583,-5.022846698760986,-4.2022318840026855,0.006585752125829458,0.014962146058678627,nan,nan,nan,nan,0.4152185618877411,0.028187371790409088
