it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.327572822570801,-4.327572822570801,0.0,0.0,0.05000000000000001,111,111,111,111,111,111,1.0,0,0.013787183910608292,0.049368202686309814,0.05893927812576294,0.027447937056422234,0.06226456165313721,0.11619216203689575,0.05966109409928322,0.10978853702545166,0.1512504369020462,0.02640249952673912,0.05964469909667969,0.11359435319900513,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999916553497314,0.0006243217503651977
20,-4.895860195159912,-4.934665679931641,0.0132676400244236,2.665340252860915e-05,0.04013216761128589,111,111,111,111,111,111,1.0,0,0.004029187373816967,0.009470880031585693,0.01789402961730957,0.015344534069299698,0.030314862728118896,0.04008740186691284,0.07938848435878754,0.13887611031532288,0.16511321067810059,0.024314582347869873,0.09117743372917175,0.14724281430244446,-4.63147497177124,-4.579226970672607,0.009740381501615047,0.010262826457619667,nan,nan,nan,nan,0.2628692388534546,0.0020065410062670708
40,-5.158889293670654,-5.18889856338501,0.010124580934643745,0.00012719679216388613,0.031841249723592945,111,111,111,111,111,111,1.0,0,0.0023756318259984255,0.006563067436218262,0.009965717792510986,0.014445231296122074,0.033838361501693726,0.04142183065414429,0.07370378822088242,0.14193867146968842,0.17076227068901062,0.02476702630519867,0.09007078409194946,0.1482049524784088,-4.663534641265869,-4.549981117248535,0.009433060884475708,0.010567404329776764,nan,nan,nan,nan,0.10161878913640976,0.0032962565310299397
60,-5.390387058258057,-5.41685152053833,0.00874319951981306,0.0003393730439711362,0.02526315532667841,111,111,111,111,111,111,1.0,0,0.0012813917128369212,0.004794985055923462,0.006919234991073608,0.014036971144378185,0.03360658884048462,0.04557228088378906,0.07013338059186935,0.1403622031211853,0.16306030750274658,0.024359077215194702,0.08983635902404785,0.15393489599227905,-4.699399948120117,-4.521565914154053,0.009100737050175667,0.010871984995901585,nan,nan,nan,nan,0.06631322205066681,0.004996961914002895
80,-5.607045650482178,-5.633542060852051,0.008644585497677326,0.0006900504813529551,0.02004403164449233,111,111,111,111,111,111,1.0,0,0.000762940791901201,0.003596782684326172,0.0072939395904541016,0.014056302607059479,0.034493476152420044,0.048281580209732056,0.06887443363666534,0.13120056688785553,0.1722457855939865,0.023999899625778198,0.08636099100112915,0.15743795037269592,-4.739021301269531,-4.486001491546631,0.008747202344238758,0.011265600100159645,nan,nan,nan,nan,0.04981769993901253,0.007193514611572027
100,-5.805919170379639,-5.832193374633789,0.00837081391364336,0.001222429913468659,0.0159031284639706,111,111,111,111,111,111,1.0,0,0.0008237759466283023,0.002899736166000366,0.005793392658233643,0.014366759918630123,0.03408747911453247,0.048255205154418945,0.06810040026903152,0.13216465711593628,0.17236070334911346,0.0237693190574646,0.0859752893447876,0.1585533320903778,-4.78196382522583,-4.447287559509277,0.008379527367651463,0.01171028707176447,nan,nan,nan,nan,0.07641485333442688,0.010086366906762123
120,-5.9872236251831055,-6.013598918914795,0.008226814679801464,0.0019640761893242598,0.012617695852173826,111,111,111,111,111,111,1.0,0,0.0007761582965031266,0.002562880516052246,0.00490182638168335,0.01452863123267889,0.034284740686416626,0.05055493116378784,0.06718150526285172,0.1341480314731598,0.17220863699913025,0.02352338284254074,0.08255515992641449,0.15884363651275635,-4.828292369842529,-4.406509876251221,0.008000170812010765,0.012197675183415413,nan,nan,nan,nan,0.109498530626297,0.01374777127057314
140,-6.148196697235107,-6.175494194030762,0.00825505144894123,0.0029425674583762884,0.010011001859077924,111,111,111,111,111,111,1.0,0,0.0007145987474359572,0.002211064100265503,0.0047740638256073,0.014539726078510284,0.03420254588127136,0.052348315715789795,0.0668172687292099,0.13321253657341003,0.17505457997322083,0.023492392152547836,0.084322988986969,0.16001945734024048,-4.8763837814331055,-4.359579563140869,0.007624535821378231,0.012783761136233807,nan,nan,nan,nan,0.18820075690746307,0.018098134547472
160,-6.288580894470215,-6.317056179046631,0.008230295032262802,0.004159789066761732,0.007942825647140267,111,111,111,111,111,111,1.0,0,0.0005809436552226543,0.001981496810913086,0.003913700580596924,0.01449864637106657,0.03434988856315613,0.05226454138755798,0.06659295409917831,0.13526105880737305,0.17899248003959656,0.02351820468902588,0.08470864593982697,0.16091948747634888,-4.925565719604492,-4.311354160308838,0.007258618716150522,0.01341537106782198,nan,nan,nan,nan,0.3379930257797241,0.0229305662214756
180,-6.410406589508057,-6.440390110015869,0.00822160579264164,0.005619988776743412,0.006301914648398637,111,111,111,111,111,111,1.0,0,0.00045985172619111836,0.0019494295120239258,0.00461927056312561,0.014376379549503326,0.034006208181381226,0.05093321204185486,0.06641463935375214,0.13547810912132263,0.18026693165302277,0.023439398035407066,0.08538176119327545,0.16130080819129944,-4.9756550788879395,-4.261265277862549,0.006903994828462601,0.014104445464909077,nan,nan,nan,nan,0.3609454929828644,0.027706528082489967
