it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.32638692855835,-4.32638692855835,0.0,0.0,0.05000000000000001,120,120,120,120,120,120,1.0,0,0.012521641328930855,0.04822546988725662,0.05840933322906494,0.029031306505203247,0.0696457251906395,0.10890781879425049,0.05941254645586014,0.10486757010221481,0.13021017611026764,0.027373161166906357,0.06185949221253395,0.09607499837875366,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.4999992251396179,0.0005860729143023491
20,-4.583494186401367,-4.636101245880127,0.012858511880040169,2.483938260411378e-05,0.05000000000000001,120,120,119,119,119,119,1.0,1,0.0067300512455403805,0.024941179901361465,0.044319093227386475,0.01619551330804825,0.03306111320853233,0.07060635089874268,0.08902180194854736,0.1650824397802353,0.1916610598564148,0.030793441459536552,0.09042762219905853,0.12944626808166504,-4.631182670593262,-4.579440116882324,0.009743229486048222,0.01026063971221447,nan,nan,nan,nan,0.2033478021621704,0.0011409519938752055
40,-4.593723773956299,-4.636812210083008,0.008941701613366604,9.57536612986587e-05,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.00614736694842577,0.024951845407485962,0.041932106018066406,0.01663811318576336,0.03824814036488533,0.07333958148956299,0.07921148091554642,0.15083186328411102,0.19961924850940704,0.029091304168105125,0.08920059353113174,0.13403195142745972,-4.656312465667725,-4.552559852600098,0.009501434862613678,0.010540188290178776,nan,nan,nan,nan,0.07563186436891556,0.0009534374694339931
60,-4.595434665679932,-4.6401753425598145,0.009623497724533081,0.00019615674682427198,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006209175102412701,0.025398313999176025,0.04079827666282654,0.016400493681430817,0.036832503974437714,0.07075691223144531,0.0814138874411583,0.15375091135501862,0.1893818974494934,0.029434984549880028,0.08888622373342514,0.13028961420059204,-4.676131248474121,-4.530905246734619,0.009314981289207935,0.010770921595394611,nan,nan,nan,nan,0.02517756074666977,0.0007752988603897393
80,-4.59578800201416,-4.640133857727051,0.009465579874813557,0.0003078791487496346,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006263383664190769,0.024860385805368423,0.04113876819610596,0.01648184098303318,0.037387263029813766,0.07147729396820068,0.08096369355916977,0.15410932898521423,0.1933063268661499,0.029395651072263718,0.0896117091178894,0.1310640275478363,-4.693336009979248,-4.510498046875,0.009156090207397938,0.010992984287440777,nan,nan,nan,nan,0.009476421400904655,0.0006414003437384963
100,-4.595980167388916,-4.640392780303955,0.009313983842730522,0.0004209395556244999,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006307833828032017,0.02480265311896801,0.04135957360267639,0.016530456021428108,0.03725999966263771,0.07152950763702393,0.08064189553260803,0.1533132791519165,0.1921459436416626,0.029355108737945557,0.08946382999420166,0.1308404803276062,-4.707301616668701,-4.4919843673706055,0.00902910903096199,0.01119840145111084,nan,nan,nan,nan,0.003388245590031147,0.0005238509038463235
120,-4.596092700958252,-4.640703201293945,0.009354575537145138,0.000529572949744761,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006301074288785458,0.024885741993784904,0.041289567947387695,0.016514217481017113,0.037427306175231934,0.07177665829658508,0.08072783797979355,0.15377099812030792,0.19273898005485535,0.029365792870521545,0.08960212767124176,0.13094156980514526,-4.718398094177246,-4.4764509201049805,0.008929471485316753,0.01137370802462101,nan,nan,nan,nan,0.0021368260495364666,0.0004311194352339953
140,-4.596185684204102,-4.64091682434082,0.009358161129057407,0.0006317111547105014,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006305685732513666,0.024882981553673744,0.04133749008178711,0.016517415642738342,0.037413232028484344,0.07145833969116211,0.08073557913303375,0.1536940485239029,0.19272856414318085,0.029364658519625664,0.08958921581506729,0.13086354732513428,-4.727229595184326,-4.4636030197143555,0.008850958198308945,0.011520778760313988,nan,nan,nan,nan,0.0015915415715426207,0.00035443907836452127
160,-4.596266269683838,-4.64109468460083,0.009355532005429268,0.0007259559351950884,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006298510357737541,0.024884091690182686,0.041313767433166504,0.016509782522916794,0.03743714094161987,0.07145541906356812,0.08072618395090103,0.15374237298965454,0.19286943972110748,0.029364032670855522,0.08959145843982697,0.13087326288223267,-4.735756874084473,-4.453072547912598,0.008775804191827774,0.011642739176750183,nan,nan,nan,nan,0.0002929822658188641,0.00029059904045425355
180,-4.59633731842041,-4.641259670257568,0.009357620030641556,0.0008119887788780034,0.05000000000000001,120,120,119,119,119,119,1.0,0,0.006297968327999115,0.024880390614271164,0.0413130521774292,0.0165080688893795,0.03743607923388481,0.07145386934280396,0.08073034137487411,0.1537749320268631,0.19293364882469177,0.029364528134465218,0.08959520608186722,0.13084501028060913,-4.745088577270508,-4.444456577301025,0.008694292046129704,0.011743486858904362,nan,nan,nan,nan,0.000531920581124723,0.00023782440985087305
