it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.366039276123047,-4.366039276123047,0.0,0.0,0.05000000000000001,110,110,110,110,110,110,1.0,0,0.007795175537467003,0.04863562062382698,0.05749410390853882,0.021604567766189575,0.0639704242348671,0.0979490876197815,0.060385268181562424,0.09676681458950043,0.10764098167419434,0.0283447727560997,0.0631433054804802,0.08065125346183777,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.4999992549419403,0.0005747216637246311
20,-4.826566696166992,-4.882299423217773,0.008054169826209545,2.6633379093254916e-05,0.04013216761128589,110,110,110,110,110,110,1.0,0,0.003921797964721918,0.020986191928386688,0.03179764747619629,0.014673801138997078,0.033485297113657,0.05164468288421631,0.07616013288497925,0.1331186145544052,0.1639752835035324,0.02443544939160347,0.06739703565835953,0.11086234450340271,-4.631261348724365,-4.579013824462891,0.009742463007569313,0.010265014134347439,nan,nan,nan,nan,0.23138536512851715,0.0020988527685403824
40,-5.077671527862549,-5.139464378356934,0.006341774016618729,0.0001273631933145225,0.031841249723592945,110,110,110,110,110,110,1.0,0,0.002889782190322876,0.017208760604262352,0.026903539896011353,0.014888791367411613,0.034356314688920975,0.051059603691101074,0.06739982217550278,0.12939569354057312,0.15511369705200195,0.022733431309461594,0.06641881167888641,0.11200380325317383,-4.662551403045654,-4.548562526702881,0.009442339651286602,0.010582405142486095,nan,nan,nan,nan,0.09505409747362137,0.0031201846431940794
60,-5.302264213562012,-5.37530517578125,0.006302956026047468,0.00033045749296434224,0.02526315532667841,110,110,110,110,110,110,1.0,0,0.0017843435052782297,0.012246849946677685,0.023909419775009155,0.014350594952702522,0.03442760556936264,0.04695028066635132,0.06634552776813507,0.12118308246135712,0.15709970891475677,0.021943246945738792,0.06601963937282562,0.11463412642478943,-4.698603630065918,-4.51605224609375,0.009107986465096474,0.010932096280157566,nan,nan,nan,nan,0.04307226836681366,0.004749102517962456
80,-5.511809349060059,-5.597009658813477,0.006491586100310087,0.0006707942811772227,0.02004403164449233,110,110,110,110,110,110,1.0,0,0.001388351432979107,0.008761197328567505,0.020238220691680908,0.014262154698371887,0.03340839222073555,0.047416359186172485,0.06599607318639755,0.12143752723932266,0.16459769010543823,0.021251140162348747,0.06668712943792343,0.11681729555130005,-4.7388105392456055,-4.480456829071045,0.008749047294259071,0.011328237131237984,nan,nan,nan,nan,0.030242469161748886,0.006892634090036154
100,-5.704742431640625,-5.801876544952393,0.006741831079125404,0.0011910474859178066,0.0159031284639706,110,110,110,110,110,110,1.0,0,0.0011847674613818526,0.006438019685447216,0.016406238079071045,0.01430442463606596,0.03402680531144142,0.0484653115272522,0.06564858555793762,0.12304417788982391,0.16371802985668182,0.020834196358919144,0.06580594182014465,0.11809998750686646,-4.782140731811523,-4.441221714019775,0.008378044702112675,0.011781536042690277,nan,nan,nan,nan,0.05756703019142151,0.009861895814538002
120,-5.879134178161621,-5.9878973960876465,0.006778963841497898,0.0019295422825962305,0.012617695852173826,110,110,110,110,110,110,1.0,0,0.0008816851768642664,0.004976954776793718,0.0128592848777771,0.014205525629222393,0.03265649825334549,0.04918542504310608,0.06500490754842758,0.12243334203958511,0.16930533945560455,0.020268525928258896,0.06621221452951431,0.11939632892608643,-4.829689979553223,-4.38967752456665,0.007988997735083103,0.01240472961217165,nan,nan,nan,nan,0.16265828907489777,0.01360123511403799
140,-6.035391330718994,-6.154946327209473,0.007052686996757984,0.0029112647753208876,0.010011001859077924,110,110,110,110,110,110,1.0,0,0.0007976983906701207,0.003787070279940963,0.009511440992355347,0.014287883415818214,0.033166032284498215,0.05051702260971069,0.06529902666807175,0.12222567945718765,0.17059732973575592,0.020122481510043144,0.06622636318206787,0.11877065896987915,-4.878170490264893,-4.340331554412842,0.007610925007611513,0.013032207265496254,nan,nan,nan,nan,0.24293705821037292,0.01801213249564171
160,-6.172779560089111,-6.3003058433532715,0.00724199740216136,0.004145428072661161,0.007942825647140267,110,110,110,110,110,110,1.0,0,0.0006179191404953599,0.002918666461482644,0.007343947887420654,0.014179755002260208,0.03303048387169838,0.050871968269348145,0.06590475887060165,0.12405494600534439,0.1706172376871109,0.02000669576227665,0.06617633253335953,0.11966493725776672,-4.9267096519470215,-4.2955641746521,0.007250319700688124,0.013628881424665451,nan,nan,nan,nan,0.3130216896533966,0.022880887612700462
180,-6.291805744171143,-6.424604892730713,0.007292171940207481,0.0056204963475465775,0.006301914648398637,110,110,110,110,110,110,1.0,0,0.0005000122473575175,0.002740551484748721,0.006708502769470215,0.014118391089141369,0.03301621973514557,0.051445186138153076,0.06612496078014374,0.12525026500225067,0.17043927311897278,0.02001028135418892,0.06652890145778656,0.11958193778991699,-4.979227066040039,-4.248285293579102,0.006879377644509077,0.014288714155554771,nan,nan,nan,nan,0.3814868628978729,0.02795305848121643
