it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.3100738525390625,-4.3100738525390625,0.0,0.0,0.05000000000000001,100,263,262,262,262,262,1.0,0,0.0008081848500296474,0.007671278435736895,0.009834527969360352,0.014801735989749432,0.033444248139858246,0.05335944890975952,0.014111947268247604,0.02420825883746147,0.04458293318748474,0.005223203916102648,0.012094254605472088,0.016204118728637695,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,2.234766960144043,0.1660640984773636,0.6395961046218872,5.403354167938232,0.3067692518234253,0.001224268926307559
10,-4.511056423187256,-4.519272804260254,0.00820988416671753,6.565429885085905e-06,0.04505509125832511,100,263,262,262,262,262,1.0,0,0.006635935977101326,0.013485042378306389,0.0220814049243927,0.018166812136769295,0.035283755511045456,0.05420488119125366,0.05069606751203537,0.06981734186410904,0.0758250281214714,0.014790589921176434,0.04146186262369156,0.04951274394989014,-4.617305755615234,-4.593050479888916,0.00987937767058611,0.010121935047209263,2.2331933975219727,0.16772761940956116,0.6399536728858948,5.416482448577881,0.074910007417202,0.0017340125050395727
20,-4.6393022537231445,-4.6536946296691895,0.014364000409841537,2.8574519092217088e-05,0.04013216761128589,100,263,262,262,262,262,1.0,0,0.00652241799980402,0.01310868188738823,0.019462287425994873,0.01844925805926323,0.0339377336204052,0.05349469184875488,0.06356794387102127,0.10227761417627335,0.11208352446556091,0.02198430337011814,0.05971075966954231,0.06989991664886475,-4.631484031677246,-4.578792095184326,0.009740293025970459,0.010267290286719799,2.2336888313293457,0.1698196679353714,0.640369176864624,5.428046703338623,0.09854847192764282,0.00212389649823308
30,-4.7889838218688965,-4.801403522491455,0.012352980673313141,6.687000131933019e-05,0.0357471449329879,100,263,262,262,262,262,1.0,0,0.005142308305948973,0.011275321245193481,0.017387747764587402,0.01756865344941616,0.034195926040410995,0.05209103226661682,0.055822525173425674,0.10455822199583054,0.12260133773088455,0.020152300596237183,0.059985388070344925,0.07254338264465332,-4.646571159362793,-4.5638628005981445,0.009594443254172802,0.010421724058687687,2.234334945678711,0.17215962707996368,0.6407097578048706,5.4395880699157715,0.0767979547381401,0.0023631395306438208
40,-4.9210405349731445,-4.931123733520508,0.009961484000086784,0.00012156830780440941,0.031841249723592945,100,263,262,262,262,262,1.0,0,0.0037221370730549097,0.009839081205427647,0.014458835124969482,0.01624428480863571,0.033626243472099304,0.05025395750999451,0.049846209585666656,0.10306066274642944,0.11553734540939331,0.018353333696722984,0.05566679686307907,0.0751703679561615,-4.663559913635254,-4.548079013824463,0.009432822465896606,0.010587522760033607,2.2297117710113525,0.17437124252319336,0.6410171985626221,5.448715686798096,0.07171471416950226,0.0028954874724149704
50,-5.036375999450684,-5.0445475578308105,0.007974091917276382,0.0001973524922505021,0.028362130342459893,100,263,262,262,262,262,1.0,0,0.003121611662209034,0.008797360584139824,0.01378682255744934,0.015876255929470062,0.033441200852394104,0.05163830518722534,0.044817350804805756,0.09195223450660706,0.11384042352437973,0.017355341464281082,0.050614167004823685,0.07358604669570923,-4.680243492126465,-4.532436370849609,0.009276755154132843,0.010754442773759365,2.224069356918335,0.1762850433588028,0.6413308382034302,5.459340572357178,0.06791990250349045,0.0033527023624628782
60,-5.142269134521484,-5.149506568908691,0.0069398581981658936,0.0002976648975163698,0.02526315532667841,100,263,262,262,262,262,1.0,0,0.002584763104096055,0.008428007364273071,0.011929750442504883,0.01587461493909359,0.03282985836267471,0.04936873912811279,0.04095634073019028,0.08085870742797852,0.10341224074363708,0.016595033928751945,0.049364857375621796,0.0689220130443573,-4.697920799255371,-4.51680850982666,0.009114207699894905,0.010923830792307854,2.222623825073242,0.1784576177597046,0.6415839791297913,5.470152854919434,0.09103208035230637,0.004161571152508259
70,-5.270257472991943,-5.277582168579102,0.0068994308821856976,0.0004252661019563675,0.022502788378502493,100,263,262,262,262,262,1.0,0,0.0017626782646402717,0.00720877293497324,0.009819984436035156,0.014933513477444649,0.03282831236720085,0.051826536655426025,0.03931236267089844,0.07510850578546524,0.09630987048149109,0.017057575285434723,0.05044637247920036,0.06703943014144897,-4.713613510131836,-4.499881267547607,0.008972297422587872,0.011110316030681133,2.22572660446167,0.18072134256362915,0.6416903734207153,5.480939865112305,0.08825825154781342,0.004697081167250872
80,-5.379090309143066,-5.386962890625,0.00728872325271368,0.0005838260985910892,0.02004403164449233,100,263,262,262,262,262,1.0,0,0.0019456471782177687,0.006816875655204058,0.010942280292510986,0.015481723472476006,0.033428359776735306,0.05042397975921631,0.04023478552699089,0.0707811489701271,0.09954852610826492,0.016124382615089417,0.04636641591787338,0.05961984395980835,-4.731331825256348,-4.480561256408691,0.008814724162220955,0.011327054351568222,2.227440118789673,0.18288931250572205,0.6420209407806396,5.490214824676514,0.1083751693367958,0.005785780027508736
90,-5.46398401260376,-5.471646785736084,0.006884205620735884,0.0007785253110341728,0.01785392982450232,100,263,262,262,262,262,1.0,0,0.0017398576019331813,0.006482100114226341,0.009819984436035156,0.015214351937174797,0.033275894820690155,0.04920542240142822,0.03879367932677269,0.06883803755044937,0.09619573503732681,0.01632925495505333,0.04451468214392662,0.059599876403808594,-4.751585483551025,-4.460270881652832,0.008637988939881325,0.011559232138097286,2.228302478790283,0.18575239181518555,0.6426844000816345,5.49903678894043,0.14313416182994843,0.007570022251456976
100,-5.560622692108154,-5.568715572357178,0.007081589661538601,0.001011520973406732,0.0159031284639706,100,263,262,262,262,262,1.0,0,0.0014322984497994184,0.006384518463164568,0.0112532377243042,0.014958413317799568,0.032586414366960526,0.05015242099761963,0.04033471643924713,0.07079604268074036,0.10429178923368454,0.01634831540286541,0.042374931275844574,0.062360286712646484,-4.772040367126465,-4.4399003982543945,0.00846309494227171,0.011797113344073296,2.2302780151367188,0.18882806599140167,0.6433997750282288,5.505776405334473,0.2129276543855667,0.008550177328288555
110,-5.634578227996826,-5.643492698669434,0.007633431814610958,0.0012814323417842388,0.01416548050919662,100,263,262,262,262,262,1.0,0,0.001210090471431613,0.0060045537538826466,0.009819984436035156,0.015119306743144989,0.03300449997186661,0.05171608924865723,0.04109056293964386,0.07472190260887146,0.09823216497898102,0.016377247869968414,0.04058254137635231,0.06640678644180298,-4.7934770584106445,-4.419638156890869,0.008283604867756367,0.012038587592542171,2.233339786529541,0.19195671379566193,0.6441952586174011,5.51257848739624,0.1917591392993927,0.00974052120000124
120,-5.719892978668213,-5.728769302368164,0.007286334875971079,0.0015896762488409877,0.012617695852173826,100,263,262,262,262,262,1.0,0,0.000938034150749445,0.005591201595962048,0.009819984436035156,0.014614404179155827,0.03298982232809067,0.04786086082458496,0.03907423093914986,0.07615289092063904,0.1037277951836586,0.01580800488591194,0.04210442304611206,0.072039395570755,-4.815276145935059,-4.3988189697265625,0.00810498371720314,0.01229184865951538,2.2328591346740723,0.19468845427036285,0.6452233791351318,5.517701148986816,0.2568904757499695,0.010797139257192612
130,-5.819638729095459,-5.829009056091309,0.007433502934873104,0.0019370937952771783,0.01123902916774363,100,263,262,262,262,262,1.0,0,0.001003981102257967,0.005679779220372438,0.009819984436035156,0.014763947576284409,0.033444248139858246,0.04942506551742554,0.038576580584049225,0.07340200990438461,0.11392504721879959,0.015761634334921837,0.04157356917858124,0.06911507248878479,-4.837662696838379,-4.378195762634277,0.007925556972622871,0.012547978200018406,2.220026969909668,0.19761839509010315,0.6463765501976013,5.5217156410217285,0.24705132842063904,0.012296204455196857
140,-5.863801956176758,-5.873665809631348,0.00753405038267374,0.002329985611140728,0.010011001859077924,100,263,262,262,262,262,1.0,0,0.000986629631370306,0.005728819873183966,0.009820759296417236,0.014855173416435719,0.033154211938381195,0.04921233654022217,0.037388913333415985,0.07603608071804047,0.11757862567901611,0.015866458415985107,0.04309139773249626,0.07133278250694275,-4.8599772453308105,-4.355277061462402,0.007750660181045532,0.012838882394134998,2.2120285034179688,0.20038394629955292,0.6474655866622925,5.525541305541992,0.28215956687927246,0.014349989593029022
150,-5.957949638366699,-5.968508720397949,0.007799983024597168,0.0027589239180088043,0.008917154384659546,100,263,262,262,262,262,1.0,0,0.0009280388476327062,0.00549004040658474,0.009819984436035156,0.014878181740641594,0.03339466080069542,0.05122876167297363,0.036633964627981186,0.07568348199129105,0.12132957577705383,0.015558996237814426,0.04116935655474663,0.07143470644950867,-4.882298469543457,-4.334212303161621,0.00757957249879837,0.013112198561429977,2.2103049755096436,0.20296739041805267,0.6484338045120239,5.528088092803955,0.3062806725502014,0.015892859548330307
160,-6.007097244262695,-6.018733024597168,0.008412085473537445,0.0032238811254501343,0.007942825647140267,100,263,262,262,262,262,1.0,0,0.0007070498540997505,0.005475716665387154,0.009819984436035156,0.014581728726625443,0.033408667892217636,0.05195647478103638,0.03767741098999977,0.07554089277982712,0.12159784883260727,0.016065597534179688,0.04489270970225334,0.06479275226593018,-4.906038761138916,-4.316310882568359,0.007401750423014164,0.013349039480090141,2.225789785385132,0.20559896528720856,0.6494585275650024,5.530927658081055,0.2978980839252472,0.01619454100728035
170,-6.060386657714844,-6.072363376617432,0.008248436264693737,0.0037282772827893496,0.007074956487172881,100,263,262,262,262,262,1.0,0,0.0009322083205915987,0.005629124119877815,0.009819984436035156,0.01489187404513359,0.03335130587220192,0.05201733112335205,0.03638964518904686,0.07123126089572906,0.12581291794776917,0.015341462567448616,0.040389325469732285,0.06723582744598389,-4.9302263259887695,-4.294156074523926,0.007224868051707745,0.013648086227476597,2.2465972900390625,0.20825396478176117,0.6506919860839844,5.53220796585083,0.32182708382606506,0.017525410279631615
180,-6.125101089477539,-6.137961387634277,0.008595587685704231,0.0042649791575968266,0.006301914648398637,100,263,262,262,262,262,1.0,0,0.0008572377846576273,0.005384915973991156,0.009819984436035156,0.014679458923637867,0.032877832651138306,0.050144731998443604,0.03646112233400345,0.07386348396539688,0.11921831220388412,0.01545040588825941,0.04256981238722801,0.06687632203102112,-4.953929424285889,-4.2729058265686035,0.007055629510432482,0.013941214419901371,2.2616748809814453,0.21054044365882874,0.65216064453125,5.530574798583984,0.355391263961792,0.019768089056015015
190,-6.163266658782959,-6.1772966384887695,0.00919673778116703,0.0048330496065318584,0.005613338867554072,100,263,262,262,262,262,1.0,0,0.0006956520956009626,0.005403690040111542,0.009819984436035156,0.014870782382786274,0.03342117369174957,0.0511547327041626,0.03817206621170044,0.07468356937170029,0.12732918560504913,0.016346240416169167,0.04350224509835243,0.06989642977714539,-4.9776411056518555,-4.247080326080322,0.006890296936035156,0.014305941760540009,2.2548325061798096,0.21291565895080566,0.6534767150878906,5.528475284576416,0.3440565764904022,0.020378684625029564
200,-6.18008279800415,-6.195283889770508,0.009776134975254536,0.005425125826150179,0.005000000000000002,100,263,262,262,262,262,1.0,0,0.0007990889716893435,0.005048495251685381,0.009843409061431885,0.014824180863797665,0.033444248139858246,0.049135684967041016,0.038200583308935165,0.07410537451505661,0.13773459196090698,0.016180284321308136,0.04502375051379204,0.07038623094558716,-5.00147008895874,-4.22182559967041,0.00672804843634367,0.01467183604836464,2.2518789768218994,0.21497143805027008,0.6547439694404602,5.525910377502441,0.4088277220726013,0.02210160158574581
