it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.349608421325684,-4.349608421325684,0.0,0.0,0.05000000000000001,131,131,131,131,131,131,1.0,0,0.007262358907610178,0.04935586452484131,0.058461517095565796,0.023070910945534706,0.07591110467910767,0.10773336887359619,0.05903906375169754,0.10518506914377213,0.11684823036193848,0.026572436094284058,0.06377342343330383,0.09558328986167908,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999913573265076,0.0006005570176057518
40,-5.097941875457764,-5.1507768630981445,0.006509843282401562,0.00012721284292638302,0.031841249723592945,131,131,131,131,131,131,1.0,0,0.002880069660022855,0.013295263051986694,0.024257123470306396,0.015224546194076538,0.036437928676605225,0.05785936117172241,0.07397081702947617,0.13557885587215424,0.15815849602222443,0.028004581108689308,0.08133503794670105,0.1402953863143921,-4.662327289581299,-4.548937797546387,0.009444457478821278,0.01057843491435051,nan,nan,nan,nan,0.09587562084197998,0.0029741127509623766
80,-5.534237384796143,-5.606766223907471,0.007003475446254015,0.0006722299731336534,0.02004403164449233,131,131,131,131,131,131,1.0,0,0.0011447911383584142,0.00797051191329956,0.015516579151153564,0.01458833273500204,0.03365141153335571,0.054778069257736206,0.07239141315221786,0.13719552755355835,0.16802279651165009,0.02676311507821083,0.07641236484050751,0.14460209012031555,-4.739216327667236,-4.473452091217041,0.008745497092604637,0.011407867074012756,nan,nan,nan,nan,0.03278294578194618,0.006529283244162798
120,-5.904513359069824,-5.996494770050049,0.006724013481289148,0.0019234325736761093,0.012617695852173826,131,131,131,131,131,131,1.0,0,0.0008266870863735676,0.004329800605773926,0.01047825813293457,0.014791191555559635,0.0341925323009491,0.052668482065200806,0.07083376497030258,0.14001530408859253,0.16577483713626862,0.025228897109627724,0.07612219452857971,0.1404610276222229,-4.829346179962158,-4.389962673187256,0.007991745136678219,0.01240119244903326,nan,nan,nan,nan,0.10766087472438812,0.012733742594718933
160,-6.201501369476318,-6.306973457336426,0.006889515556395054,0.004129944834858179,0.007942825647140267,131,131,131,131,131,131,1.0,0,0.0005924840224906802,0.003055274486541748,0.006439656019210815,0.01473313570022583,0.03318995237350464,0.052452921867370605,0.07024185359477997,0.13797113299369812,0.17953182756900787,0.025165980681777,0.07809093594551086,0.14343172311782837,-4.930222034454346,-4.296872138977051,0.007224898785352707,0.013611066155135632,nan,nan,nan,nan,0.27173691987991333,0.021013014018535614
200,-6.423418998718262,-6.538580417633057,0.006992724258452654,0.00730794295668602,0.005000000000000002,131,131,131,131,131,131,1.0,0,0.0004217836249154061,0.002084672451019287,0.007451146841049194,0.014625577256083488,0.033434897661209106,0.05200210213661194,0.07049237191677094,0.13609810173511505,0.18027085065841675,0.025222046300768852,0.07883404195308685,0.14493060111999512,-5.032006740570068,-4.196144104003906,0.006525702308863401,0.01505350973457098,nan,nan,nan,nan,0.4840015470981598,0.029627973213791847
