it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.399264335632324,-4.399264335632324,0.0,0.0,0.05000000000000001,108,108,107,107,107,107,1.0,0,0.001097191357985139,0.04376356676220894,0.05905735492706299,0.017212294042110443,0.05975741147994995,0.09852081537246704,0.05821232497692108,0.10236276686191559,0.1270962506532669,0.027332747355103493,0.05928314849734306,0.09745681285858154,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.4999992549419403,0.000559208681806922
20,-4.789089679718018,-4.814615249633789,0.005781210958957672,2.4607492377981544e-05,0.04013216761128589,108,108,108,108,108,108,1.0,1,0.004339294042438269,0.029586371034383774,0.06847429275512695,0.015654344111680984,0.04723250865936279,0.08744427561759949,0.07335679978132248,0.14282207190990448,0.18593963980674744,0.03142646700143814,0.0907333642244339,0.16527202725410461,-4.630557060241699,-4.5799665451049805,0.009749325923621655,0.010255238972604275,nan,nan,nan,nan,0.4999968707561493,0.0015437699621543288
40,-5.02206563949585,-5.049986362457275,0.004812897648662329,0.0001348380174022168,0.031841249723592945,108,108,108,108,108,108,1.0,0,0.003862962359562516,0.02682488225400448,0.07003620266914368,0.01649816334247589,0.04849233850836754,0.08566680550575256,0.06905769556760788,0.12755712866783142,0.18765170872211456,0.030730433762073517,0.08983021229505539,0.1632455587387085,-4.663794994354248,-4.546220302581787,0.009430604986846447,0.010607220232486725,nan,nan,nan,nan,0.2400881052017212,0.003101206850260496
60,-5.224324703216553,-5.261570930480957,0.006063950248062611,0.00035639715497381985,0.02526315532667841,108,108,108,108,108,108,1.0,0,0.00407559284940362,0.023102039471268654,0.07644248008728027,0.017215289175510406,0.047670748084783554,0.08407074213027954,0.07061614841222763,0.13263706862926483,0.20267292857170105,0.030753448605537415,0.08404760807752609,0.1581364870071411,-4.7024006843566895,-4.509251117706299,0.009073467925190926,0.011006699874997139,nan,nan,nan,nan,0.255755215883255,0.004851364064961672
80,-5.407444477081299,-5.455550670623779,0.006558089982718229,0.0007031461573205888,0.02004403164449233,108,108,108,108,108,108,1.0,0,0.004439555108547211,0.02095872350037098,0.08194822072982788,0.017895249649882317,0.04719806835055351,0.08805310726165771,0.07112494856119156,0.1400904357433319,0.19548983871936798,0.030961262062191963,0.09005697071552277,0.1632477045059204,-4.744761943817139,-4.469753265380859,0.00869713257998228,0.011450140736997128,nan,nan,nan,nan,0.19663745164871216,0.007311047054827213
100,-5.573955535888672,-5.636284828186035,0.007003634702414274,0.0012047680793330073,0.0159031284639706,108,108,108,108,108,108,1.0,0,0.004608388990163803,0.02089756540954113,0.08516740798950195,0.018369801342487335,0.04594072327017784,0.09164655208587646,0.07175031304359436,0.14878995716571808,0.19937801361083984,0.031060149893164635,0.09449981898069382,0.16944587230682373,-4.79003381729126,-4.4311065673828125,0.008312176913022995,0.011901313439011574,nan,nan,nan,nan,0.33430927991867065,0.010755718685686588
120,-5.727445602416992,-5.806163787841797,0.007492781616747379,0.0018761880928650498,0.012617695852173826,108,108,108,108,108,108,1.0,0,0.004733477719128132,0.018188882619142532,0.086357980966568,0.018550565466284752,0.0442253053188324,0.09326538443565369,0.07175640016794205,0.14698724448680878,0.2002311646938324,0.030980613082647324,0.09295542538166046,0.17188769578933716,-4.838108062744141,-4.3887715339660645,0.007922027260065079,0.012415972538292408,nan,nan,nan,nan,0.31699061393737793,0.0149778351187706
140,-5.8636555671691895,-5.957587242126465,0.007644277065992355,0.0027327861171215773,0.010011001859077924,108,108,108,108,108,108,1.0,0,0.004548398312181234,0.015543116256594658,0.08683258295059204,0.018555982038378716,0.044201742857694626,0.09407150745391846,0.07211264222860336,0.14625699818134308,0.20604796707630157,0.031209323555231094,0.09441129863262177,0.17304149270057678,-4.889475345611572,-4.342281341552734,0.007525369990617037,0.013006821274757385,nan,nan,nan,nan,0.41537362337112427,0.02055170387029648
160,-5.984248161315918,-6.093898773193359,0.007768170442432165,0.003800660138949752,0.007942825647140267,108,108,108,108,108,108,1.0,0,0.004352437797933817,0.015091788955032825,0.08791011571884155,0.018422963097691536,0.04551093280315399,0.09529387950897217,0.07235173135995865,0.14701993763446808,0.2084880918264389,0.031165966764092445,0.094956174492836,0.17387336492538452,-4.938350200653076,-4.294633388519287,0.007166411727666855,0.013641572557389736,nan,nan,nan,nan,0.4990968406200409,0.026186980307102203
180,-6.0901336669921875,-6.2109479904174805,0.007824787870049477,0.005071947351098061,0.006301914648398637,108,108,108,108,108,108,1.0,0,0.004198022652417421,0.01401361171156168,0.08857101202011108,0.018313763663172722,0.04567039757966995,0.09612143039703369,0.0723402127623558,0.1470903605222702,0.21207158267498016,0.031059158965945244,0.09518019109964371,0.17330339550971985,-4.986364841461182,-4.244312286376953,0.006830449216067791,0.014345595613121986,nan,nan,nan,nan,0.4986911416053772,0.030616730451583862
