it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.433398246765137,-4.433398246765137,0.0,0.0,0.05000000000000001,131,131,131,131,131,131,1.0,0,0.00045587497879751027,0.0037293434143066406,0.009602367877960205,0.01724916510283947,0.045024335384368896,0.059973955154418945,0.00341034890152514,0.015594325959682465,0.023533230647444725,0.0011963314609602094,0.006444588303565979,0.014710605144500732,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.4999975860118866,0.0013281822903081775
10,-4.766946315765381,-4.775016784667969,0.008063885383307934,6.699895948258927e-06,0.04505509125832511,131,131,131,131,131,131,1.0,0,0.00281148380599916,0.008939594030380249,0.012232989072799683,0.01287416834384203,0.02896323800086975,0.049496471881866455,0.047402236610651016,0.06532192975282669,0.07328790426254272,0.014431227929890156,0.037759482860565186,0.05718991160392761,-4.61732292175293,-4.593562126159668,0.00987920816987753,0.010116757825016975,nan,nan,nan,nan,0.29059895873069763,0.0027081395965069532
20,-4.926697731018066,-4.939362525939941,0.01263449341058731,3.068883961532265e-05,0.04013216761128589,131,131,131,131,131,131,1.0,0,0.004698903299868107,0.008183479309082031,0.011977583169937134,0.016232289373874664,0.029845595359802246,0.03525596857070923,0.05634764954447746,0.0919482409954071,0.10969633609056473,0.018503356724977493,0.05611525475978851,0.07200795412063599,-4.631737232208252,-4.5810723304748535,0.009737827815115452,0.010243905708193779,nan,nan,nan,nan,0.17337331175804138,0.0028144048992544413
30,-5.055796146392822,-5.069312572479248,0.013443267904222012,7.314152753679082e-05,0.0357471449329879,131,131,131,131,131,131,1.0,0,0.0032334805000573397,0.007042258977890015,0.011471688747406006,0.014961020089685917,0.02984476089477539,0.03942564129829407,0.05681867152452469,0.10319399833679199,0.11683151870965958,0.02056208625435829,0.05767972767353058,0.07503962516784668,-4.647100448608398,-4.57360315322876,0.009589366614818573,0.010320705361664295,nan,nan,nan,nan,0.1515791118144989,0.003430050564929843
40,-5.180405139923096,-5.194619178771973,0.014076123014092445,0.00013785432383883744,0.031841249723592945,131,131,131,131,131,131,1.0,0,0.0017214891267940402,0.004839450120925903,0.005830615758895874,0.014228087849915028,0.03331682085990906,0.04028382897377014,0.058742705732584,0.10743534564971924,0.1319388598203659,0.02117052488029003,0.0583818256855011,0.07258465886116028,-4.662835121154785,-4.568768501281738,0.009439662098884583,0.010370722971856594,nan,nan,nan,nan,0.09040585905313492,0.003987082280218601
50,-5.290343761444092,-5.30359411239624,0.013021670281887054,0.00022910461120773107,0.028362130342459893,131,131,131,131,131,131,1.0,0,0.0014747090172022581,0.004461914300918579,0.007692605257034302,0.014153258875012398,0.03536099195480347,0.040240854024887085,0.05684458091855049,0.10490106791257858,0.12864303588867188,0.02054046280682087,0.05430874228477478,0.06859439611434937,-4.679693698883057,-4.561336040496826,0.009281856939196587,0.010448090732097626,nan,nan,nan,nan,0.07577783614397049,0.004976908676326275
60,-5.406283855438232,-5.418253421783447,0.011619260534644127,0.0003504799969960004,0.02526315532667841,131,131,131,131,131,131,1.0,0,0.0010622012196108699,0.004226595163345337,0.005980819463729858,0.014249227941036224,0.03536003828048706,0.04277223348617554,0.05369465425610542,0.09851784259080887,0.11111681163311005,0.020068559795618057,0.05215361714363098,0.06498786807060242,-4.69760274887085,-4.551254749298096,0.009117106907069683,0.010553954169154167,nan,nan,nan,nan,0.09436113387346268,0.00566490413621068
70,-5.519137382507324,-5.5306477546691895,0.011009699665009975,0.0005008649895898998,0.022502788378502493,131,131,131,131,131,131,1.0,0,0.0005034467903897166,0.0037914812564849854,0.005476534366607666,0.013827691785991192,0.03550601005554199,0.04444238543510437,0.051898710429668427,0.09986723214387894,0.11430151015520096,0.01918424293398857,0.04796764254570007,0.06462523341178894,-4.715954780578613,-4.536929607391357,0.00895131565630436,0.010706228204071522,nan,nan,nan,nan,0.08189404010772705,0.006696357391774654
80,-5.625712871551514,-5.636285305023193,0.009888393804430962,0.0006841546855866909,0.02004403164449233,131,131,131,131,131,131,1.0,0,0.0004922832013107836,0.0032527148723602295,0.00426030158996582,0.01414196565747261,0.034561216831207275,0.04623553156852722,0.048835206776857376,0.09177154302597046,0.11055611819028854,0.018405307084321976,0.04875017702579498,0.06298395991325378,-4.734773635864258,-4.520689487457275,0.00878443755209446,0.010881518013775349,nan,nan,nan,nan,0.061445292085409164,0.008000223897397518
90,-5.725969314575195,-5.735507488250732,0.008628886193037033,0.0009091433021239936,0.01785392982450232,131,131,131,131,131,131,1.0,0,0.0005914352950640023,0.0029411911964416504,0.005444467067718506,0.014343931339681149,0.032953113317489624,0.047977596521377563,0.04528696835041046,0.0871444046497345,0.10636737942695618,0.017779286950826645,0.04894222319126129,0.060643911361694336,-4.754281044006348,-4.503957271575928,0.008614735677838326,0.011065121740102768,nan,nan,nan,nan,0.07441052049398422,0.009558421559631824
100,-5.826089382171631,-5.83474063873291,0.007473473437130451,0.0011779858032241464,0.0159031284639706,131,131,131,131,131,131,1.0,0,0.0007814528653398156,0.0028328895568847656,0.005164533853530884,0.01471423264592886,0.032797008752822876,0.04855144023895264,0.0419098362326622,0.08441115915775299,0.10287436097860336,0.017215430736541748,0.048610180616378784,0.05814623832702637,-4.775683879852295,-4.487767219543457,0.008432315662503242,0.01124572567641735,nan,nan,nan,nan,0.09118712693452835,0.010754878632724285
110,-5.919632434844971,-5.928131103515625,0.007009850814938545,0.0014885499840602279,0.01416548050919662,131,131,131,131,131,131,1.0,0,0.000666231382638216,0.0024590790271759033,0.004853934049606323,0.014618477784097195,0.034232765436172485,0.04883304238319397,0.04114397615194321,0.07644422352313995,0.10263506323099136,0.016932738944888115,0.04796785116195679,0.056026309728622437,-4.798052787780762,-4.46950101852417,0.00824578758329153,0.011453029699623585,nan,nan,nan,nan,0.09994782507419586,0.012450498528778553
120,-6.00669527053833,-6.015179634094238,0.006636761128902435,0.0018478607526049018,0.012617695852173826,131,131,131,131,131,131,1.0,0,0.0006381753482855856,0.0022283196449279785,0.0038813352584838867,0.014729088172316551,0.03406322002410889,0.04903557896614075,0.04017486795783043,0.07391998171806335,0.09528005123138428,0.016747120767831802,0.04800276458263397,0.05307978391647339,-4.820973873138428,-4.449289321899414,0.008058934472501278,0.011686869896948338,nan,nan,nan,nan,0.1538088470697403,0.014324141666293144
130,-6.090479850769043,-6.099113464355469,0.0063752830028533936,0.002258248860016465,0.01123902916774363,131,131,131,131,131,131,1.0,0,0.0006272804457694292,0.002167314291000366,0.0038138926029205322,0.01478674728423357,0.03406059741973877,0.051012903451919556,0.03940168395638466,0.07239764928817749,0.09459381550550461,0.016702158376574516,0.047965213656425476,0.05143138766288757,-4.844176769256592,-4.427581787109375,0.007874097675085068,0.011943336576223373,nan,nan,nan,nan,0.19202250242233276,0.016053026542067528
140,-6.167837619781494,-6.176899433135986,0.006345382891595364,0.002716765506193042,0.010011001859077924,131,131,131,131,131,131,1.0,0,0.000545235991012305,0.001878499984741211,0.00402522087097168,0.014673390425741673,0.03362664580345154,0.05006110668182373,0.03912024945020676,0.07184985280036926,0.09644625335931778,0.016642265021800995,0.04792284965515137,0.053663551807403564,-4.867238521575928,-4.4063310623168945,0.00769458431750536,0.012199856340885162,nan,nan,nan,nan,0.21724410355091095,0.017963217571377754
150,-6.239711761474609,-6.24919319152832,0.006256205029785633,0.0032253616955131292,0.008917154384659546,131,131,131,131,131,131,1.0,0,0.00041334773413836956,0.0017494559288024902,0.0036199092864990234,0.014657076448202133,0.03348073363304138,0.049458980560302734,0.03897792845964432,0.07261241972446442,0.09345301240682602,0.01658032275736332,0.047397419810295105,0.05110281705856323,-4.890450954437256,-4.3858561515808105,0.007518031634390354,0.012452223338186741,nan,nan,nan,nan,0.23033085465431213,0.019945397973060608
160,-6.306088924407959,-6.316033840179443,0.006160358898341656,0.0037844765465706587,0.007942825647140267,131,131,131,131,131,131,1.0,0,0.0003727922448888421,0.0016933083534240723,0.003479301929473877,0.014652183279395103,0.03378674387931824,0.05317506194114685,0.03840866684913635,0.07090047001838684,0.09289321303367615,0.016560425981879234,0.046412914991378784,0.0531349778175354,-4.9143147468566895,-4.365149974822998,0.007340746466070414,0.012712748721241951,nan,nan,nan,nan,0.26449403166770935,0.02192075364291668
