it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.370878219604492,-4.389222621917725,0.0,0.0,0.05000000000000001,118,0,118,118,118,118,1.0,0,0.008345222100615501,0.045658178627491,0.058765798807144165,0.024500347673892975,0.07263405621051788,0.10416954755783081,0.054303474724292755,0.09511435031890869,0.10978963971138,0.026044128462672234,0.056261926889419556,0.09077653288841248,-4.605170249938965,-4.605170249938965,0,0,0,0,0,0,1.0457534790039062,0.0014433208853006363
40,-5.180179595947266,-5.1959309577941895,0.0010727113112807274,0.017468204721808434,0.031841249723592945,118,0,118,118,118,118,1.0,0,0.0019864141941070557,0.006082326173782349,0.00867953896522522,0.014629189856350422,0.03212455287575722,0.04459640383720398,0.07141753286123276,0.13072048127651215,0.17092175781726837,0.021949265152215958,0.0899532362818718,0.12847965955734253,-4.838296413421631,-4.430237770080566,0,0,0,0,0,0,0.12020279467105865,0.0013866415247321129
80,-5.635392189025879,-5.651641845703125,0.0007440735935233533,0.06980057805776596,0.02004403164449234,118,0,118,118,118,118,1.0,0,0.000562247063498944,0.0031876973807811737,0.004435420036315918,0.014163454063236713,0.034905727952718735,0.046617358922958374,0.060396626591682434,0.11195710301399231,0.13813279569149017,0.019563142210245132,0.07884874939918518,0.1233205795288086,-5.086946487426758,-4.166680812835693,0,0,0,0,0,0,0.060386888682842255,0.001811870140954852
120,-6.031245708465576,-6.055027484893799,0.0005916766822338104,0.16479551792144775,0.012617695852173826,118,0,118,118,118,118,1.0,0,0.0006683825049549341,0.0031608492136001587,0.005050003528594971,0.014650858007371426,0.03393526002764702,0.0500146746635437,0.056546032428741455,0.10548233240842819,0.1303611695766449,0.01822868175804615,0.07288678735494614,0.11064141988754272,-5.373335838317871,-3.9056408405303955,0,0,0,0,0,0,0.05998120829463005,0.002022138796746731
160,-6.352407932281494,-6.389245986938477,0.0005651105311699212,0.2986633777618408,0.007942825647140267,118,0,118,118,118,118,1.0,0,0.00026609559427015483,0.0028727015014737844,0.004394054412841797,0.014352349564433098,0.033834464848041534,0.05129820108413696,0.05617276951670647,0.10907857120037079,0.1419239193201065,0.018117396160960197,0.07395832985639572,0.10973995923995972,-5.623953819274902,-3.6134705543518066,0,0,0,0,0,0,0.3003852665424347,0.0020987598691135645
200,-6.581080436706543,-6.630185604095459,0.000581725500524044,0.4189457297325134,0.005000000000000002,118,0,118,118,118,118,1.0,0,-5.659259113599546e-05,0.0027209592517465353,0.005372345447540283,0.013971993699669838,0.03343289718031883,0.052762627601623535,0.05620109289884567,0.10791048407554626,0.14633822441101074,0.018119120970368385,0.07288216799497604,0.11038920283317566,-5.859329700469971,-3.4383931159973145,0,0,0,0,0,0,0.4306517243385315,0.001940277055837214
