it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.331989765167236,-4.349964618682861,0.0,0.0,0.05000000000000001,117,0,116,116,116,116,1.0,0,0.008553528226912022,0.0475350022315979,0.05900752544403076,0.02398289553821087,0.06263582408428192,0.09753942489624023,0.05688231438398361,0.10205338895320892,0.12143799662590027,0.026817824691534042,0.05476372316479683,0.0655156672000885,-4.605170249938965,-4.605170249938965,0,0,0,0,0,0,1.0940886735916138,0.001251015579327941
40,-5.17915678024292,-5.196110248565674,0.0011642787139862776,0.01773095689713955,0.031841249723592945,117,0,116,116,116,116,1.0,0,0.0021479406859725714,0.006332099437713623,0.0133705735206604,0.014638150110840797,0.031364306807518005,0.045294493436813354,0.07141541689634323,0.14113371074199677,0.15792325139045715,0.024649091064929962,0.08278051018714905,0.15758776664733887,-4.840414524078369,-4.376540660858154,0,0,0,0,0,0,0.15350870788097382,0.001299466472119093
80,-5.6343793869018555,-5.651226043701172,0.0008045629365369678,0.06899649649858475,0.02004403164449234,117,0,116,116,116,116,1.0,0,0.0005180704756639898,0.0031357258558273315,0.005288481712341309,0.01411792729049921,0.03459040820598602,0.04507669806480408,0.06223164498806,0.12233521789312363,0.1501963883638382,0.02274889312684536,0.07401274889707565,0.13766902685165405,-5.093145370483398,-4.208288192749023,0,0,0,0,0,0,0.0705195888876915,0.001975907012820244
120,-6.030274868011475,-6.054142475128174,0.0006196682807058096,0.16199539601802826,0.012617695852173826,117,0,116,116,116,116,1.0,0,0.0007205418078228831,0.0029979944229125977,0.005530714988708496,0.014661471359431744,0.03410370647907257,0.04839777946472168,0.06015501543879509,0.11461542546749115,0.14254415035247803,0.021623652428388596,0.06926457583904266,0.12401878833770752,-5.362803936004639,-3.9044079780578613,0,0,0,0,0,0,0.08910373598337173,0.0024280378129333258
160,-6.352504253387451,-6.389344215393066,0.0005753588047809899,0.2977682650089264,0.007942825647140267,117,0,116,116,116,116,1.0,0,0.00044845970114693046,0.002970561385154724,0.0052817463874816895,0.014468846842646599,0.03442709147930145,0.05234032869338989,0.05912921950221062,0.11173759400844574,0.13862362504005432,0.02161211520433426,0.06842458993196487,0.11737135052680969,-5.6416754722595215,-3.611893892288208,0,0,0,0,0,0,0.35433316230773926,0.002269784454256296
200,-6.58118200302124,-6.63045072555542,0.0005844325642101467,0.42052215337753296,0.005000000000000002,117,0,116,116,116,116,1.0,0,9.869938367046416e-05,0.003210723400115967,0.00493273138999939,0.014096058905124664,0.03392118215560913,0.05336448550224304,0.05909184738993645,0.11182225495576859,0.14056693017482758,0.021689483895897865,0.06996515393257141,0.11349800229072571,-5.88609504699707,-3.414381980895996,0,0,0,0,0,0,0.45850855112075806,0.0019507581600919366
