it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.338988780975342,-4.3607354164123535,0.0,0.0,0.05000000000000001,122,0,122,122,122,122,1.0,0,0.007642323616892099,0.048623453825712204,0.05983603000640869,0.021982233971357346,0.06636479496955872,0.09559106826782227,0.06262965500354767,0.10325285792350769,0.14069250226020813,0.029402734711766243,0.060423798859119415,0.12491047382354736,-4.605170249938965,-4.605170249938965,0,0,0,0,0,0,1.0678176879882812,0.0012645346578210592
40,-5.179200649261475,-5.195745468139648,0.0010972586460411549,0.01823870651423931,0.031841249723592945,122,0,122,122,122,122,1.0,0,0.0024003705475479364,0.006073396652936935,0.013460993766784668,0.01475957129150629,0.03228261321783066,0.04304271936416626,0.07643312960863113,0.14636264741420746,0.20167626440525055,0.02716182731091976,0.09897316992282867,0.15497344732284546,-4.850656509399414,-4.381912708282471,0,0,0,0,0,0,0.12594074010849,0.0013047484681010246
80,-5.635743618011475,-5.651409149169922,0.0006896880804561079,0.0684891790151596,0.02004403164449234,122,0,122,122,122,122,1.0,0,0.000407692336011678,0.0032439350616186857,0.004489630460739136,0.013970333151519299,0.03482472151517868,0.04376256465911865,0.0653829500079155,0.12632672488689423,0.17404580116271973,0.02379980869591236,0.0886320248246193,0.15689444541931152,-5.0998921394348145,-4.183525085449219,0,0,0,0,0,0,0.06281810998916626,0.0018431121716275811
120,-6.031156063079834,-6.054060459136963,0.0005246192449703813,0.16325172781944275,0.012617695852173826,122,0,122,122,122,122,1.0,0,0.0006754082860425115,0.0029271570965647697,0.0049957334995269775,0.0145755959674716,0.03474121168255806,0.0504327118396759,0.0624091774225235,0.11936628073453903,0.1716809868812561,0.022466572001576424,0.08356790989637375,0.15801578760147095,-5.372086048126221,-3.894878387451172,0,0,0,0,0,0,0.0825556069612503,0.0022678598761558533
160,-6.352990627288818,-6.389075756072998,0.0005086418241262436,0.29698610305786133,0.007942825647140267,122,0,122,122,122,122,1.0,0,0.00042101909639313817,0.00268211355432868,0.005206704139709473,0.014401574619114399,0.03268475458025932,0.05222037434577942,0.06376311182975769,0.1207040473818779,0.1729288101196289,0.022836415097117424,0.09087181836366653,0.15836668014526367,-5.642496585845947,-3.5935187339782715,0,0,0,0,0,0,0.2907903492450714,0.0022191889584064484
200,-6.581430435180664,-6.630072593688965,0.0005216423305682838,0.4207746982574463,0.005000000000000002,122,0,122,122,122,122,1.0,0,5.6268490880029276e-05,0.002968974644318223,0.005316227674484253,0.014003601856529713,0.03263126686215401,0.052603840827941895,0.06427028030157089,0.12058254331350327,0.1710798740386963,0.023064589127898216,0.08757584542036057,0.15699928998947144,-5.870622634887695,-3.4281516075134277,0,0,0,0,0,0,0.5452485084533691,0.001945654978044331
