it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,7.432887554168701,7.432887554168701,0.0,0.0,0.0,466,953,953,832,832,832,1.0,0,0.1195317730307579,0.23659193515777588,0.2948911786079407,0.13713276386260986,0.254202663898468,0.3103194236755371,0.07990449666976929,0.1451481431722641,0.18564246594905853,0.040488164871931076,0.10143521428108215,0.1774558424949646,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,0.3446309566497803,5.3069575452074856e-18,0.2643272578716278,2.721369504928589,0.4998737871646881,0.011226149275898933
10,6.339598178863525,6.334368705749512,0.00522737018764019,1.9305150544823846e-06,0.0,466,953,936,842,842,842,1.0,58,0.1053282842040062,0.23496156930923462,0.2953181862831116,0.12201128154993057,0.2531891167163849,0.31029844284057617,0.08300933241844177,0.15132270753383636,0.19392772018909454,0.042081087827682495,0.10335323214530945,0.1774558424949646,-4.617231369018555,-4.593115329742432,0.009880113415420055,0.010121278464794159,0.3436641991138458,5.3069575452074856e-18,0.2643965482711792,2.7203683853149414,0.49962013959884644,0.019473733380436897
20,5.914162635803223,5.899206638336182,0.014948821626603603,7.352756256295834e-06,0.0,466,953,923,858,858,858,1.0,58,0.0940164104104042,0.23253950476646423,0.29465457797050476,0.11028744280338287,0.2504294514656067,0.3103049397468567,0.09333688020706177,0.1702176183462143,0.2487470805644989,0.049199774861335754,0.12844781577587128,0.21892520785331726,-4.630818843841553,-4.578917503356934,0.009746774099767208,0.01026600319892168,0.3444274067878723,5.3069575452074856e-18,0.26435232162475586,2.7182390689849854,0.49914467334747314,0.029213611036539078
30,5.695760250091553,5.674870014190674,0.020875997841358185,1.409042306477204e-05,0.0,466,953,917,854,854,854,1.0,42,0.08605827391147614,0.22979506850242615,0.2946052551269531,0.1022762656211853,0.2490180879831314,0.31020718812942505,0.10176806151866913,0.18773838877677917,0.2605510950088501,0.05634694918990135,0.14750292897224426,0.22475111484527588,-4.64473819732666,-4.564428806304932,0.009612045250833035,0.010415826924145222,0.3467693328857422,5.3069575452074856e-18,0.2643830180168152,2.717097759246826,0.4694364070892334,0.03714260086417198
40,5.524588584899902,5.496855735778809,0.027707677334547043,2.5161045414279215e-05,0.0,466,953,909,857,857,857,1.0,39,0.07652116566896439,0.22258569300174713,0.2947849631309509,0.09290925413370132,0.2446483075618744,0.31021714210510254,0.11048902571201324,0.2087685465812683,0.2870362102985382,0.06459540873765945,0.17059427499771118,0.25199592113494873,-4.660220623016357,-4.547918319702148,0.00946437381207943,0.01058922428637743,0.34824544191360474,5.3069575452074856e-18,0.26456502079963684,2.7149155139923096,0.4410359859466553,0.03755422309041023
50,5.430593490600586,5.397716522216797,0.0328369066119194,4.010150223621167e-05,0.0,466,953,913,873,873,873,1.0,32,0.07134805619716644,0.22245559096336365,0.2948349714279175,0.08749517053365707,0.24087055027484894,0.31027495861053467,0.11628863960504532,0.22371412813663483,0.3144696354866028,0.06924764066934586,0.17663541436195374,0.28512316942214966,-4.674975872039795,-4.534956932067871,0.009325750172138214,0.010727368295192719,0.34515613317489624,5.3069575452074856e-18,0.26471439003944397,2.713449001312256,0.33473438024520874,0.06256111711263657
60,5.3536763191223145,5.317690849304199,0.03592611849308014,5.906189471716061e-05,0.0,466,953,917,874,874,874,1.0,25,0.06632134318351746,0.21975068747997284,0.2944297194480896,0.08218950778245926,0.23797298967838287,0.3096155524253845,0.12057626247406006,0.23466145992279053,0.33191871643066406,0.07409945130348206,0.18992875516414642,0.32914111018180847,-4.690371513366699,-4.522324562072754,0.009183273650705814,0.010863740928471088,0.342742919921875,5.3069575452074856e-18,0.26479485630989075,2.711610794067383,0.35066643357276917,0.04968160018324852
70,5.293211936950684,5.255087375640869,0.03804156556725502,8.277454617200419e-05,0.0,466,953,911,879,879,879,1.0,23,0.06298720091581345,0.21944096684455872,0.2943676710128784,0.07879792898893356,0.23837117850780487,0.3102276921272278,0.12233593314886093,0.23584510385990143,0.3420429825782776,0.07577048242092133,0.19203709065914154,0.3401966094970703,-4.707363128662109,-4.504251003265381,0.00902855396270752,0.011061872355639935,0.34073111414909363,5.3069575452074856e-18,0.2648836374282837,2.7078754901885986,0.19028954207897186,0.030015978962183
80,5.2500691413879395,5.209916114807129,0.04004120081663132,0.0001120819870266132,0.0,466,953,911,880,880,880,1.0,15,0.060901664197444916,0.21983715891838074,0.29435938596725464,0.07675602287054062,0.2384069263935089,0.3102271556854248,0.12451215833425522,0.24080318212509155,0.3482537567615509,0.07719729095697403,0.19473066926002502,0.34517207741737366,-4.720730781555176,-4.484890937805176,0.008908665738999844,0.011278118006885052,0.3398461937904358,5.3069575452074856e-18,0.2650291323661804,2.704679489135742,0.19443951547145844,0.030682692304253578
90,5.215581893920898,5.174426078796387,0.04101000726222992,0.00014583578740712255,0.0,466,953,906,878,878,878,1.0,16,0.05773109942674637,0.2151852697134018,0.2940334677696228,0.07346919178962708,0.23504474759101868,0.3101577162742615,0.12652836740016937,0.24602705240249634,0.336324006319046,0.07926168292760849,0.20356224477291107,0.33185702562332153,-4.733781814575195,-4.46628475189209,0.008793153800070286,0.011489925906062126,0.34212690591812134,5.3069575452074856e-18,0.2651212513446808,2.703188896179199,0.15434499084949493,0.05308506637811661
