it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.367297172546387,-4.367297172546387,0.0,0.0,0.05000000000000001,112,112,112,112,112,112,1.0,0,0.004089864902198315,0.0496329590678215,0.059532493352890015,0.019340772181749344,0.06646315008401871,0.10436499118804932,0.059214286506175995,0.10119379311800003,0.15507525205612183,0.025990145280957222,0.0630238875746727,0.11569094657897949,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.4999992549419403,0.0005546814063563943
40,-5.100472450256348,-5.149182319641113,0.008243553340435028,0.00012455535761546344,0.031841249723592945,112,112,112,112,112,112,1.0,0,0.0031668287701904774,0.014923661947250366,0.03374820947647095,0.015379280783236027,0.03565407171845436,0.051312923431396484,0.07421904802322388,0.16648425161838531,0.18443967401981354,0.028783263638615608,0.10580967366695404,0.17808637022972107,-4.6620659828186035,-4.547820091247559,0.009446924552321434,0.010590264573693275,nan,nan,nan,nan,0.09040816128253937,0.0031741310376673937
80,-5.525132656097412,-5.5998854637146,0.008269594982266426,0.000668108172249049,0.02004403164449233,112,112,112,112,112,112,1.0,0,0.0013442599447444081,0.0073749711737036705,0.023298263549804688,0.014741391874849796,0.03573135659098625,0.053525686264038086,0.07205505669116974,0.15536345541477203,0.18439032137393951,0.027486160397529602,0.098812997341156,0.17066848278045654,-4.737583637237549,-4.478610992431641,0.008759787306189537,0.011349166743457317,nan,nan,nan,nan,0.03419295325875282,0.007014115806668997
120,-5.888103008270264,-5.987772464752197,0.008458182215690613,0.0019096042960882187,0.012617695852173826,112,112,112,112,112,112,1.0,0,0.0010826282668858767,0.004392723552882671,0.014884799718856812,0.014911727979779243,0.035727739334106445,0.05390101671218872,0.0718563124537468,0.16070592403411865,0.19056066870689392,0.02613694779574871,0.1035245880484581,0.17023572325706482,-4.8254523277282715,-4.3943963050842285,0.008022923953831196,0.012346331961452961,nan,nan,nan,nan,0.14705100655555725,0.013678774237632751
160,-6.180098056793213,-6.298097610473633,0.008601032197475433,0.004082669969648123,0.007942825647140267,112,112,112,112,112,112,1.0,0,0.0006677404744550586,0.0024912385269999504,0.010640203952789307,0.014698587357997894,0.03395964950323105,0.05301967263221741,0.07163216918706894,0.15687836706638336,0.19160573184490204,0.025491829961538315,0.10259994119405746,0.1657831072807312,-4.921157360076904,-4.298288345336914,0.007290687877684832,0.01359180361032486,nan,nan,nan,nan,0.3601401150226593,0.022793903946876526
200,-6.3992414474487305,-6.529294490814209,0.0087377168238163,0.0072450460866093636,0.005000000000000002,112,112,112,112,112,112,1.0,0,0.0005278837634250522,0.0024306257255375385,0.007498800754547119,0.014639226719737053,0.03418862447142601,0.05176490545272827,0.07161235809326172,0.1562047004699707,0.19249561429023743,0.02535008080303669,0.10198162496089935,0.16414311528205872,-5.02634334564209,-4.204749584197998,0.006562764290720224,0.014924523420631886,nan,nan,nan,nan,0.4843660891056061,0.0323716402053833
