it,L,NLL,disp,shape,sigma,roi_verts,roi_faces,centers_loss,centers_inimg,gate_z,gate_t,gate_z_ratio,gate_flips,rz_mean,rz_p90,rz_max,rt_mean,rt_p90,rt_max,dv_mean,dv_p95,dv_max,dz_abs_mean,dz_abs_p95,dz_abs_max,logS_min,logS_max,S_min,S_max,sumw_p50,sumw_min,maxw_mean,effk_mean,gdisp,gshape
1,-4.3939208984375,-4.3939208984375,0.0,0.0,0.05000000000000001,126,126,126,126,126,126,1.0,0,0.0027404807042330503,0.04440554976463318,0.05967095494270325,0.018233895301818848,0.060761138796806335,0.10007435083389282,0.05518053099513054,0.09599562734365463,0.12113704532384872,0.023283183574676514,0.05804452300071716,0.10245203971862793,-4.605170249938965,-4.605170249938965,0.009999999776482582,0.009999999776482582,nan,nan,nan,nan,0.49999916553497314,0.0005782217485830188
40,-5.082635879516602,-5.140778064727783,0.005307030398398638,0.0001248073240276426,0.031841249723592945,126,126,126,126,126,126,1.0,0,0.0022428359370678663,0.012934058904647827,0.03032505512237549,0.014807742089033127,0.03424540162086487,0.04934248328208923,0.06371018290519714,0.1219586431980133,0.1694059669971466,0.022465381771326065,0.07506295293569565,0.10557037591934204,-4.662434101104736,-4.549060344696045,0.009443447925150394,0.010577138513326645,nan,nan,nan,nan,0.0899338647723198,0.0029639683198183775
80,-5.522444248199463,-5.602316856384277,0.0050056567415595055,0.0006662864470854402,0.02004403164449233,126,126,126,126,126,126,1.0,0,0.0011495827930048108,0.008022546768188477,0.01726636290550232,0.01490766741335392,0.03378403186798096,0.04975402355194092,0.05914134904742241,0.11405571550130844,0.15048588812351227,0.02027229405939579,0.06894674897193909,0.10337555408477783,-4.738061904907227,-4.4769134521484375,0.008755599148571491,0.011368448846042156,nan,nan,nan,nan,0.04649142920970917,0.006602713372558355
120,-5.894955158233643,-5.993765830993652,0.005012446083128452,0.001915037864819169,0.012617695852173826,126,126,126,126,126,126,1.0,0,0.0008634802652522922,0.004755333065986633,0.014000087976455688,0.015054888091981411,0.03337070345878601,0.05065399408340454,0.057321928441524506,0.1154932975769043,0.14686471223831177,0.020069897174835205,0.06828197091817856,0.09963721036911011,-4.832427978515625,-4.389782905578613,0.007967153564095497,0.01240342203527689,nan,nan,nan,nan,0.09393869340419769,0.012961864471435547
160,-6.1909260749816895,-6.303692817687988,0.005298346281051636,0.004134713672101498,0.007942825647140267,126,126,126,126,126,126,1.0,0,0.0005230771494098008,0.0028546005487442017,0.009393066167831421,0.014966617338359356,0.03320157527923584,0.052384257316589355,0.05730320140719414,0.11117751151323318,0.15271151065826416,0.019922718405723572,0.06749287247657776,0.10011613368988037,-4.93032169342041,-4.298165321350098,0.007224178873002529,0.013593476265668869,nan,nan,nan,nan,0.2734083831310272,0.021601155400276184
200,-6.413872241973877,-6.535815715789795,0.005306163337081671,0.0073385536670684814,0.005000000000000002,126,126,126,126,126,126,1.0,0,0.0004895266029052436,0.002179473638534546,0.007619231939315796,0.01498731691390276,0.03290049731731415,0.052923738956451416,0.056554149836301804,0.10907226800918579,0.15090937912464142,0.019688967615365982,0.06459321081638336,0.10067498683929443,-5.027453422546387,-4.201984405517578,0.006555483210831881,0.014965849928557873,nan,nan,nan,nan,0.4462047815322876,0.030244363471865654
